entry,year,genre,source,a,b,c,text,
588,1818,MAG,NorthAmRev,A,B,C,"  his own hook.' Turn your eyes now to the top of that tall tree, where you hear a song, which strikes you as altogether new to your",
157,1820,FIC,MountainTorrent,A,B,C,"  down the path to the torrent, gains the bridge, rapidly darts to the tree, stabs Lupartro in the back, throws him over, the lightning glares on",
268,1822,FIC,OdofriedeOutcast,A,B,C,"  and silver light Like a mantle of glory falling o'er rock, And water, tree, and flower, seemed A gilded bark, the calm and waveless ocean Sailing",
697,1822,NF,DiscoursesDelivered,A,B,C,"  devout life, as a cause to an effect, as the root of a tree to its foliage and fruit. But there is something farther, of high importance",
86,1823,FIC,ErrataTheWorks,A,B,C,"  This bleak and desolate place -- with only this one, barren, and leafless tree, within the whole circumference of the horizon -- its aged branches heavy with snow",
126,1823,FIC,WildernessBraddocks,A,B,C,"  her attention a little to one side, perceived a white man leaning against a tree scarce two yards distant. She immediately started to her feet in surprise, crying",
301,1823,FIC,Seventy-sixVolume1,A,B,C,"  as Clinton followed, lunged and hit him. Du Coudray clapped his hands -- tree to tree, now sair! I suppose?' said he. I wondered",
400,1823,FIC,WildernessBraddocks,A,B,C,"  of it, your broken arm, that dangles there like a twig from a tree -- Maria lend me that shawl, I will sling it comfortably to his breast",
687,1823,FIC,WildernessBraddocks,A,B,C,"  He is a stranger, and does not know where to find a red oak tree -- I must guide him. "" "" Let him take the first tree he",
840,1823,FIC,Seventy-sixVolume1,A,B,C,"  ?' Sit down, and listen to me.' There was a large tree, uptorn, near us, and I obeyed -- the roots were before us",
217,1824,FIC,RedwoodATaleVolume2,A,B,C,"  I saw her that morning and the next sitting on that rock by the elm tree yonder, ladies; she had a pencil in her hand, and a big",
501,1824,MAG,NorthAmRev,A,B,C,"  on shore, * says Mr Mills, and found all assembled under the cola tree. Sherbro was seated in his armed chair, with Somano on his right hand",
648,1824,MAG,NorthAmRev,A,B,C,"  feet long, six wide, and five deep, made of a single cowry tree, hollowed out, and the sides raised about two feet with planks firmly fastened",
709,1824,MAG,NorthAmRev,A,B,C,"  in the Bay of Islands, the officers immediately commenced their inquiries for the cowry tree, for which they were in pursuit. They encountered many embarrassments in searching for",
779,1827,NF,IntroductionMechanical,A,B,C,"  Alder, Plane tree. Sycamore, Chestnut, green, Ash f from young tree, "" medium quality, Elm, common, "" wych, green, Acacia",
207,1828,FIC,Fanshawe,A,B,C,"  , having first thrown the bridles of the horses carelessly over the branch of a tree. Ellen trembled at the awful scene she would be compelled to witness; but",
478,1828,FIC,FrontierHouseFrom,A,B,C,"  drawing of his little plantation and house, including, of course, the chestnut tree. The Indian surveyed it in silence, and Edward thought no more of the",
797,1828,FIC,FrontierHouseFrom,A,B,C,"  as she stood at the corner of her house, beneath the shade of that tree, looking earnestly towards the woods, she thought she perceived something emerge from their",
537,1829,NF,MemoirMrsAnnHJudson,A,B,C,  his soul. J. -- How do you know whether the root of the mango tree is good? You can not see it; but yoa can judge by the,
972,1829,MAG,NorthAmRev,A,B,C,"  Attempts have been made to introduec the vine, the olive, and the mulberry tree; and these attenipts, which Spain has not been able to prevent, have",
224,1830,FIC,Deformed,A,B,C,"  not. Treb. Trebatzo With emotion. O! my lord! this old tree had another branch, and but one more growing out of it. It was",
559,1830,FIC,Pocahontas,A,B,C,"  forth to seize Pocahontas and Omaya -- at the same moment Rolfe comes from the tree, fires a pistol, Indians run off screaming. Namou. Namoutac Aha!",
460,1832,MAG,NorthAmRev,A,B,C,"  the Platanus Occidentalis, better known by the names of Sycamore or Button-wood, a tree of // vast dimensions and very rapid growth in Massachusetts, though here it never",
580,1832,MAG,NewEngMag,A,B,C,"  fisl* for his master, but the beaver can not. That animal on yonder tree, with the catlike visage, is a Loup.. Gervier, or American Lynx",
819,1832,MAG,NorthAmRev,A,B,C,"  his door. The supply of course diminishes when no longer required, and the tree is then cultivated for its clean and cool shade, which is always beautiful,",
966,1832,MAG,NewEngMag,A,B,C,"  fence in front, enclosing a green plat of untrodden grass, but without a tree near it to shade or shelter it from the sun and storm, or a",
159,1833,FIC,PoemsProseWritings,A,B,C,"  saw him by the light in the entry. He came so close to the tree, that Paul drew up straight, as he passed; but so dark was",
442,1833,NF,HistoryVegetable,A,B,C,"  large trees. The Barbadoes Cedar (Juniperus Barbadensis) grows to be a large tree, and is used for ship-building and other purposes; but, being a native",
483,1833,FIC,PoemsProseWritings,A,B,C,"  . I went on till I found a crow's nest. I climbed the tree, and took out the eggs. The old crow kept flying round and round",
536,1833,NF,HistoryVegetable,A,B,C,"  no means struck with its appearance, as it does not seem to be one tree, but a bush of five large Chesnut Fagus castanea. trees growing together. We",
773,1833,NF,HistoryVegetable,A,B,C,"  . At that period the timber was so much in demand, that a fine tree has often been sold for several hundred pounds. Beside the value of its timber",
872,1833,NF,HistoryVegetable,A,B,C,"  cloth of the bark of the bread-fruit tree, and also of that of another tree resembling the wild-fig of the West Indies. The paper mulberry will grow in England",
262,1834,MAG,NewEngMag,A,B,C,"  no complacency in man. A horse, a dog, a sheep, a tree, a stone, or any thing, which was not positively inimical, would",
453,1834,MAG,NewEngMag,A,B,C,"  just as well be transplanted, so far as the vitality and prosperity of the tree are concerned, as a small one. In the words of Sir Henry Stuart-",
742,1834,FIC,GuyRiversATale,A,B,C,"  without arousing the sable groom; and having brought him under the shadow of a tree at some little distance from the house, he found no further obstruction in the",
197,1835,FIC,South-WestByYankee,A,B,C,"  the north part of this state, among which is the fallen trunk of a tree twenty feet in length, converted into solid rock. The outer surface of the",
387,1835,FIC,PartisanATaleRevolution,A,B,C,"  of the tory whom Singleton had taken, and who now lay tied beneath a tree at a little distance. The maniac slowly rose and moved towards him -- walked",
472,1835,FIC,HorseShoeRobinson,A,B,C,"  the boughs. The darkness prevented him from choosing the most favorable lodgment in the tree, and he fell across a heavy limb with such force as to take away",
671,1835,FIC,HorseShoeRobinson,A,B,C,"  gossip. "" It is tied by an easy knot to the root of the tree, "" said Robinson, as he returned from the examination. "" Thank you",
685,1835,FIC,PartisanATaleRevolution,A,B,C,"  foot. It has taken a strong hold, and has grown into a beautiful tree, which throws a pleasant and solemn shadow over it. The headstone has but",
769,1835,FIC,South-WestByYankee,A,B,C,"  of one of the principal streets -- a beautiful avenue bordered with the luxuriant China tree, whose dark rich foliage, nearly meeting above, formed a continued arcade as",
933,1835,FIC,South-WestByYankee,A,B,C,"  and northerners would form from its towering altitude, a tolerable idea of a forest tree in Mississippi. Hang from its heavy branches huge tassels of black Carolina moss,",
944,1835,FIC,AnOldSailorsYarns,A,B,C,"  the roots of the tree, ran hastily back. The next instant, the tree, with a ton or two of earth attached to its matted roots, came",
331,1836,FIC,LafitteThePirate,A,B,C,"  stopped on a small mound they had just ascended, and leaning against a cypress tree, crowning its summit, he soon became wrapped in reflections upon the presented crisis",
810,1836,FIC,PartisanLeader,A,B,C,"  spurs to his horse to gallop to the front, when every rock and every tree of the surrounding hills burst into flame, and the deep ravine echoed to the",
196,1838,FIC,ProbusRomeInThird,A,B,C,  you in his name have you slain by the sword or hung upon the accursed tree. Awake out of your slumbers! These are the last days. God will,
567,1838,FIC,BurtonTheSieges,A,B,C,"  comrade, they furiously advanced upon him. He retreated till he gained a large tree, when, placing his back against it, he waited to receive their assault",
641,1838,NF,AmericanInParis,A,B,C,"  several little searches for a convenient place, we sat ourselves down underneath a hospitable tree, which, from its solemn and venerable aspect, and from my biblical recollections",
817,1838,FIC,WreathWildFlowers,A,B,C,"  , Banished from its beloved resting-place, And fluttering, in vain hope, from tree to tree, And bade us think, how like it, the sweet season",
57,1839,FIC,MortonsHopeThe,A,B,C,"  of their victory. During the continuance of this, I was tied to a tree and left to my own reflections. "" We had hitherto marched leisurely, and",
