entry,year,genre,source,a,b,c,text
1,1862,FIC,Walking,A,B,C,  . Nothing can equal the serenity of their lives. Their coat-of-arms is simply a lichen. I saw it painted on the pines and oaks. Their attics were in
2,1900,MAG,Dial,A,B,C,"  is raised and the long, slender beak arranges here and there a bit of lichen, bark, or cobweb in its proper place on the outside. Thus she"
3,1987,FIC,LegacyHeorot,A,B,C,"  | spring at the base of the mountain, but there was insufficient moss or lichen to break down the rock, and most of the plateau was barren. Barren"
4,1849,FIC,WoodmanOtherPoems,A,B,C,"  ' branches twine. And light-gray mossy rocks peep up, Specked with the steel-black lichen smooth, Where tufted plumes wave moroon cup, Marsh-feather is the name forsooth."
5,1976,FIC,ByWillApollo,A,B,C,"  a squirrel, alarmed at the noise, lay flattened like a patch of gray lichen. "" Strike me that beast, "" he said, and put the boar-spear"
6,1886,FIC,TheirPilgrimage,A,B,C,"  land comes down to the sea in knolls of rock breaking off suddenly-rocks gray with lichen, and shaded with a touch of other vegetation. Between these knifeback ledges are"
7,1895,MAG,Atlantic,A,B,C,"  armfuls of maidenhair and ostrich ferns, wild flowers, berries, moss, and lichen. And many other things we brought back to the wagon unknowingly; // for"
8,2003,FIC,Fantasy & Science Fiction,A,B,C,"  be damned. "" # "" What? "" # "" I think this is lichen. "" # He went over to look, and it looked like lichen to"
9,1911,FIC,Tante,A,B,C,"  towards the Lizard, black rock or grey, all spotted with rosettes of orange lichen with sweeps of grey-green sward sloping to them. Victor becomes quite intoxicated with the"
10,1995,FIC,FantasySciFi,A,B,C,"  dead summers, his hands and feet skidding on a slime of wet moss and lichen. A leaf stuck to his chin. The claws of a dead bush snagged"
11,2004,MAG,Backpacker,A,B,C,"  world's largest sea cave and an excellent kayak tour. Named for the multicolored lichen and algae decorating its walls, it's nearly a quartermile long and 100 feet"
12,1993,FIC,WhereWeStand,A,B,C,"  indecipherable. Farther on the stones get smaller, plainer, are gorse choked and lichen painted. I stared down the lines, groping for a logic to their arrangement"
13,1971,FIC,YourScatteredBodies,A,B,C,"  , though there was no evidence of decay or fracture of the vein. The lichen could be Parmelia saxitilis, which also grew on old bones, including skulls,"
14,2005,FIC,Suspect,A,B,C,"  . The rooftop is speckled with pigeon droppings and the slate tiles are covered in lichen and moss. The patterns look like fossilized plants pressed into the stone, but"
15,1938,FIC,Fathers,A,B,C,"  too late to see, dead of a cold draft. A strip of damp lichen covered the third verse but I knew it all by rote, knew that papa"
16,2007,FIC,FantasySciFi,A,B,C,"  explore my stores of knowledge, which are capacious. "" "" The desires of lichen, even astounding lichen, are not our concern, "" I said. """
17,1951,FIC,CruelSea,A,B,C,"  his pockets, his toe detaching from the stone rim a bright orange disc of lichen. "" Why do you swear? "" I asked righteously. He didn't"
18,1996,MAG,NaturalHist,A,B,C,"  alga and a fungus growing together in a symbiotic relationship. Also known as reindeer lichen, caribou moss looks crunchy, but it is soft, and one can walk"
19,1966,FIC,OmensettersLuck,A,B,C,"  cup I may get a peek at the maker. Would he look like a lichen? Nice shape to the bowls, they're feathery; my fingers show through"
20,1993,FIC,DirtyWork,A,B,C,"  , as if to remind Tessa where she was. Tessa chimneyed up to the lichen and hung there as she scraped at it. It smelled bitter and dusty."
21,1961,FIC,Harpers,A,B,C,  the green moss and grass on the grave mound and the long trailing beards of lichen drooping from the trees; the ring of stones surrounding the base of the mound
22,1975,FIC,BeyondBedroomWall,A,B,C,  of hours. Once it grew darker for long moments as the luminescent fungi and lichen and mosses grew fewer and fewer. Another dozen meters and the first light from
23,1863,FIC,LifeInOpenAirOther,A,B,C,"  rock, unsoftened by other vegetation than rusty moss and the dull green splashes of lichen, all this was hidden, except when the mist, white and delicate where"
24,1884,NF,JamesNasmythEngineer,A,B,C,"  partial decay his skilful touch brought them to life again, laden with branches and lichen, with leaves and twigs and bark, and with every feature that gives such"
25,1965,FIC,Thomas,A,B,C,"  cocking his head to listen, sniffing the walmth of grass and herb and sun-baked lichen on the stone. And then he put the baby down and stepped into the"
26,2003,FIC,Fantasy & Science Fiction,A,B,C,"  It's dead, obviously it lived in more protected circumstances, but it's lichen. You want to know something interesting? I can't tell the story like"
27,2003,FIC,Fantasy & Science Fiction,A,B,C,"  a drainage ditch. Turn a rock over, hey look, there's some lichen. It's dead, obviously it lived in more protected circumstances, but it"
28,2006,FIC,FantasySciFi,A,B,C,"  The autochthones did not do so, however, because as the last handfuls of lichen were crammed into the gaping maws and chewed to pulp, a flying car came"
29,1924,FIC,LandThatTimeForgot,A,B,C,"  's depths rose towering cliffs, shot with brown and blues and greens -- withered moss and lichen and the verdigris of copper, and everywhere the rusty ocher of iron pyrites."
30,1914,NF,ZoologicalPhilosophy,A,B,C,"  great indeed are the difficulties of the study and determination of species in the genera Lichen, Fucus, Carex, Poa, Piper, Euphorbia, Erica, Hieracium,"
31,1927,NEWS,Chicago,A,B,C,"  the Old Smith Mill In county, a lonesome stone building all green with lichen and moss while the ancient wind swept rafters creaked a monotonous accompaniment to the story"
32,2003,FIC,Fantasy & Science Fiction,A,B,C,"  Symbiotic Explorer # They spent the next two months absorbed in the problem of the lichen: where it grew, what could kill it, what made it grow,"
33,1971,FIC,YourScatteredBodies,A,B,C,"  were black and bluish-green, looking like a glassy igneous rock with huge splotches of lichen covering at least a quarter of the surface. Between him and the hills were"
34,1948,FIC,StormEcho,A,B,C,"  economy. Very old, no doubt; immeasurably old. Layers of moss and lichen had softened the outlines. There was a dragon with a lion's head pursuing"
35,2003,FIC,Fantasy & Science Fiction,A,B,C,"  . For a while all of them stood around the sample containers watching the brown lichen. # Ping. # Ping. # Ping ping ping. # "" We"
36,1943,NF,StoryMedicine,A,B,C,"  in dermatology, for Celsus described forty skin diseases: severe acute papular eczema (lichen agrius) is called Celsus' papules, anesthetic leprosy is Celsus' vitiligo,"
37,1887,FIC,FarmLegends,A,B,C,"  day to day -- Our grand Society has won its way. And as the lichen plant, when tempest-torn, And roughly from its native hill-side borne, Sucks moisture"
