entry,year,genre,source,a,b,c,text
400,1820,-,-,-,-,-,"So once Egyptians at the Nile Ador'd their guardian crocodile, Who heard them first with kindest ear, And ate them to reward"
164,1830,-,-,-,-,-,"Rome, While he exults in her calamities -- A crocodile, that mingles with the blood Of dying victims, his deceitful tears --"
149,1831,-,-,-,-,-,"rivers, because these are the native haunts of the crocodile and the hippopotamus. It was further asserted that our domestic animals, especially"
157,1832,-,-,-,-,-,"and even the amusement of occasionally spying out a sleeping crocodile was over. Just in this state, when we would have fain believed"
262,1832,-,-,-,-,-,"long, large, and most hideously like a miniature crocodile, I frequently saw, gliding from the fissures of the rocks, and"
279,1832,-,-,-,-,-,"in a mouldered barque, went silently. The plated crocodile, on the earth and pool Suspended, ope'd his sluggish jaws and"
39,1833,-,-,-,-,-,"nature of that dragon. It was no longer a crocodile, it was a boa. The skin, lead-colored and dirty, looked"
247,1833,-,-,-,-,-,"I am going to eat, and bang! this crocodile falls upon me at the very moment. He installs himself clean be tween"
73,1835,-,-,-,-,-,"has been much dispute as to the identity of the crocodile and alligator, nor are naturalists yet united in their opinions upon this point"
325,1835,-,-,-,-,-,"me to the soul. Ian. Ianthe The wily crocodile, on Afric's red strond, With piteous complaint entraps the stranger,"
354,1835,-,-,-,-,-,", which, like his neighbour, the cayman or crocodile, from the same boiling fens of the coast, made his prey upon"
112,1836,-,-,-,-,-,"example, the white bear, the otter, the crocodile. In hot countries especially, where the effects of corruption are most rapid"
12,1838,-,-,-,-,-,"not a dry joke; for, in getting the crocodile on board, I tumbled over, and, very unintentionally on my part"
51,1838,-,-,-,-,-,"flock of ducks, the next to shoot at a crocodile. He was the first I had seen, and was lying on a"
173,1838,-,-,-,-,-,"third I grew tired of it, and tumbled my crocodile into the river. I followed him with my eye as his body floated"
197,1838,-,-,-,-,-,". The Ombites were distinguished for their worship of the crocodile, and this noUe temple was dedicated to that bestial god: among the"
306,1838,-,-,-,-,-,"things, had heard of my having /q/ shot a crocodile. Waiting to see them off for the Uand of Philoe, and bidding"
323,1838,-,-,-,-,-,"and gave me the credit of having myself shot a crocodile, any one of which was worth all the trouble it cost me."
480,1838,-,-,-,-,-,Slavery in Egypt. -- How to catch a Crocodile. -- An elahorate Joke. -- Imaginary Perils. -- Arabs not so
380,1841,-,-,-,-,-,"the greater part of summer; and so does the crocodile, which remains stiff in in the mire, hardened by the sun until"
403,1842,-,-,-,-,-,"acceptable to God, to toss her infant to the crocodile in the Ganges, -- must he so examine the grounds of the faith"
40,1843,-,-,-,-,-,"Lot Sap Sago Well, if it ain't the crocodile hunter, there's no snakes. Har. Harvy Ashton Walk in,"
100,1843,-,-,-,-,-,", if I hain't had trouble enough with that crocodile hunter; but I got him safe at Castine at last. As soon"
357,1843,-,-,-,-,-,"meant to hit him in the eyeball, but that crocodile hunter's gun was crooked, so I bored a new hole in his"
80,1844,-,-,-,-,-,"Disappointment? and difulties overcome hy thought and perseverance. Crocodile, lienrs and monkeys. Education of animals. Laplanders, neimleer. Surprising"
219,1844,-,-,-,-,-,"a porpoise, and the teeth were those of a crocodile. It must have been a most destructive creature to the fish of those"
241,1844,-,-,-,-,-,"of small size, considered as a congener of the crocodile; another, whose footsteps having a resemblance to an impression of a swelled"
29,1845,-,-,-,-,-,"porcelain idols, from the tombs of Memphis; mummied crocodile, and other animals, &c.; authentic veriations of natural history, and"
461,1846,-,-,-,-,-,"slept on her stone shelf with the bear and the crocodile. When ninety-five years had passed, the bear, having fulfilled his prescribed"
493,1846,-,-,-,-,-,"and adored the ox, the bull, and the crocodile. They htid not discovered the art, as we Catholics have done,"
