entry,year,genre,source,a,b,c,text
227,1823,-,-,-,-,-,"through which we had been travelling. The banks of cottonwood (populus monilifera) bordered by the even beach, resembled a verdant garden"
19,1834,-,-,-,-,-,"up the river about half a mile a grove of cottonwood, and proposed going and camping there, George answered that, py Cot"
94,1834,-,-,-,-,-,"encamped was wide and grassy, and shaded with large cottonwood. Traveled this day near twenty miles, in a due south-east course."
238,1834,-,-,-,-,-,"was lying in the edge of a thicket of mountain cottonwood and hemlock. I found I was freezing to death, and had to"
405,1834,-,-,-,-,-,"walnut, and pecan, and close to the bank cottonwood and sycamore. Of the early part of his route -- that is,"
434,1834,-,-,-,-,-,"about ten miles, and encamped in a grove of cottonwood, on the same creek. 11. -- Left the creek and traveled west"
105,1835,-,-,-,-,-,leaves are massed and rotting below; and the tall cottonwood sighs mournfully in the wind; while the dark and sullen river rolls oii
427,1836,-,-,-,-,-,"rose in its midst, and on which stood the cottonwood to which Murrell had been directing the attention of his companion. The island"
460,1840,-,-,-,-,-,"sun was slowly ascending through the branches of the towering cottonwood and pine-trees, that seemed to throw themselves forward as barriers in opposition to"
319,1849,-,-,-,-,-,"not forgotten Frank Leighton, and the fight at Bitter Cottonwood? "" I replied. "" Good heavens! is it indeed you?"
358,1849,-,-,-,-,-,met with any of them since the battle of Bitter Cottonwood; but that he had heard of their being in this part of the
294,1862,-,-,-,-,-,"chicken for the men. We camped by a fallen cottonwood near the slough. The atmosphere was hopeful. We picnicked merrily, men"
450,1862,-,-,-,-,-,"f*itctory for adobe bricks. Beyond, in the Great Cottonwood Cafion, are a series of saw-mills, where a million feet of lumber"
468,1865,-,-,-,-,-,"here, under the command of Major Wood. At Cottonwood, a day's ride back, we had taken aboard Major O'Brien,"
246,1868,-,-,-,-,-,". This is the Pendleton theory, the cypress or cottonwood plank, of the new platform. The cry of "" Tax the national"
264,1868,-,-,-,-,-,"Belmont, who have made a platform of cypress and cottonwood for the Democratic party, say there is no express promise to pay the"
428,1868,-,-,-,-,-,"class of dwellings, and in the smallness of the cottonwood trees which fringe every door-yard, do you get any idea of the newness"
30,1873,-,-,-,-,-,"for a sight of the fringe-like foliage, of the cottonwood trees. Stiff and sore from my confinement of the night previous, and"
204,1873,-,-,-,-,-,"; and throwing myself at the foot of a tall cottonwood, with the lariat of the mustang attached to my wrist, I determined"
374,1873,-,-,-,-,-,", clear but shallow; its banks lined with tall cottonwood trees. Here we rested, and our tired animals fully appreciated the cool"
397,1873,-,-,-,-,-,"A few moments took us out of sight of the cottonwood grove, and but for the aid of father's pocket compass we could"
416,1873,-,-,-,-,-," the day previous, but a scout through the cottonwood grove revealed nothing, and as the sound was very faint and was not
417	1896	-	-	-	-	-	up the old laundry at the corner of Third and Cottonwood streets, in the Briggs building. We hope that our citizens will accord
418	1925	-	-	-	-	-	, over there, there's a farmhouse with a cottonwood windbreak in the front yard. Maybe you saw it. It's near
419	1922	-	-	-	-	-	gone since his advent into the world in the hollow cottonwood in the windfall. The erstwhile kitten, playing in the entrance to the
420	2005	-	-	-	-	-	above the patches of bleached prairie grass and groves of cottonwood and juniper, this Serengeti of the Great Plains remains nearly cheek to antler
421	1950	-	-	-	-	-	shrinkage are important considerations in the choice of yellow-poplar, cottonwood, and red alder for core stock, while the acidresistant quality of Port-Orford
422	1994	-	-	-	-	-	#  In the bark of a tree, a cottonwood. In the middle of a junkyard somewhere in Texas. There's been"
441,1873,-,-,-,-,-,"weet, to woo "" in the branches of the cottonwood. Job. Job Stop, Missa Lisa. You'se a witch. Lisa"
135,1874,-,-,-,-,-,"my heart failed me, and I made on to Cottonwood, a mining camp twenty miles distant, on the Klamat, and a"
335,1874,-,-,-,-,-,"us, should travel all the way from Yreka to Cottonwood to get a game, and then get cleaned out cleaner than a shot-gun"
45,1875,-,-,-,-,-,out from the rocks on either side. Sometimes a cottonwood tree grew over the water. I came to one beautiful fall of more
446,1875,-,-,-,-,-,"of sand, with slug* gish ditches and rows of cottonwood trees on either hand. It is surprising how many picturesque and pleasing glimpses"
142,1877,-,-,-,-,-,"the beach, and seated ourselves on a white old cottonwood that had floated out of the Columbia river, and been cast by the"
295,1878,-,-,-,-,-,"travel, that its bridges were flimsy, that its cottonwood ties were already giving out, its log culverts falling in, its embankments"
28,1879,-,-,-,-,-,"MYSTERY It was growing quite dark in the telegraph-ofe at Cottonwood, Tuolumne County, California. The ofe, a box-like enclosure, was"
230,1879,-,-,-,-,-,"an atmosphere of absolute purity, an occasional foreground of cottonwood and aspen flaunting in red and gold to intensify the blue gloom of the"
372,1879,-,-,-,-,-,"and the rain and the darkness again slowly settled upon Cottonwood. The message lagged a little at San Francisco, laid over half an"
403,1879,-,-,-,-,-,. He recognized in the strangers two prominent citizens of Cottonwood; and their manner bespoke business. One of them proceeded to the desk
451,1879,-,-,-,-,-,"It was addressed to "" Seventy-Four and Seventy-Five, "" Cottonwood. In a few hours she received the following enigmatical response: -- """
139,1881,-,-,-,-,-,"or forty feet in diameter, made of twigs of cottonwood trees, interwoven with straw of wheat, cornstalks, and cane. """
