entry,year,genre,source,a,b,c,text
1,1968,MAG,Time,A,B,C,"  a Polish diplomat who shuttled between Hanoi and Saigon. Shrouded plans (code-named "" Marigold "" by the State Department) were laid for a U.S.-North Vietnamese meeting in Warsaw"
2,1901,FIC,KingMidasRomance,A,B,C,"  the things in the forest, or to have been offered the lily and the marigold. Unfortunately, however, Helen did not think about any of that, but"
3,1933,FIC,ErieWater,A,B,C,"  one was shouting down the street: "" Free trade and rum! "" Captain Marigold cocked his head to one side, andthe wrinkles deepened about the corners of his"
4,1864,FIC,MotherPitchers,A,B,C,"  hides in the bedclothes, she hides in the screen: Merrily, Maryly, Marigold Queen! Leland, Charles Godfrey, 1824-1903: Variety Loriety. from Mother Pitcher's"
5,2005,FIC,InterpreterMaladies,A,B,C,"  a small shrine, a framed picture of a lavender-faced goddess and a plate of marigold petals, on the bedside table in the guest room, and prayed twice a"
6,1963,MAG,SatEvePost,A,B,C,  the death of Nancy Johnson. They had him initial each page and each of Marigold's corrections in the manuscript. When the tape recording of the event is timed
7,1868,MAG,Galaxy,A,B,C,"  white thistle blooms in clusters, and has a bright-yellow blossom, somewhat resembling a marigold. Seven miles from Cheyenne the heavy grades commence. The change in the atmosphere"
8,1990,NF,ModelsMirrorsTowards,A,B,C,"  tails as long as their bodies, and a taste for the Indian tourists' marigold necklaces, which they'd snap right off like any common mall thief. While"
9,1997,FIC,AnUnsuitableMatch,A,B,C,"  pain. He held out his arms to me and said, "" Oh, Marigold, stop fiddling with those plates and come and tell me that you can't"
10,2007,NEWS,Chicago,A,B,C,  . Impressive wine list. # Kids: No. # Cost: $$$ # Marigold # 4832 N. Broadway; (773) 293-4653 # Vibe: This is a
11,1994,FIC,coca_mag,A,B,C,"  . # "" Black-eyed Susan, "" she said, "" Grace, Anna, Marigold, Pansy, Sarah... "" # She had become smaller with age. In"
12,1851,NF,FlowerGardenBrecks,A,B,C,"  before the middle or last, of May, as the Balsam, Cockscomb, Marigold, &c.; Tender annuals can hardly be brought to perfection without starting them in artificial"
13,1975,NF,RangelandManagement,A,B,C,"  clearing the strait, Drake's vessels were scattered by a violent storm; the Marigold sank with all hands, the Elizabeth was driven back into the Atlantic, and"
14,1946,FIC,SnakePit,A,B,C,"  to him more than she had acknowledged to herself. Yet having observed him with Marigold and others, she was convinced, as she had said more than once,"
15,2009,FIC,HauntingBombay,A,B,C,"  never allowed to go near but once visited it in secret, a single velvety marigold clutched in her small fingers to offer at the small stone shrine devoted to Ekuira"
16,1946,FIC,SnakePit,A,B,C,"  . Among the guests were to be Madame Rerstadt, the devoted sheik, and Marigold, who because of her interestin Tollifer was still in Paris and, by his"
17,1946,FIC,SnakePit,A,B,C,"  yet, your husband. I'm sure he could enlighten you, "" concluded Marigold, as she edged away from Aileen. Whereupon, intensely wrought up, Aileen"
18,1946,FIC,SnakePit,A,B,C,"  her forthcoming departure. His reactions were rather complicated, for in the backgroundthere was Marigold, who wanted him to cruise with her to the North Cape. By now"
19,1990,MAG,Horticulture,A,B,C,"  K. japonica Pleniflora', a double-flowering cultivar that my neighbor has dubbed the "" marigold bush "" because of the color and shape of its blossoms. Here it flowers"
20,1986,NEWS,CSMonitor,A,B,C,"  , eggplant, lettuce, and cabbage. You' ll also need 4 dwarf marigold plants and 4 to 6 begonia plants. And you' ll need one package"
21,1991,NEWS,CSMonitor,A,B,C,"  her house in Baltimore. Some are predictable love poems. Jocelyn has described a marigold: precisely, scientifically, unexpectedly poetically. # Surprisingly, neither seascape nor farmhouse"
22,1946,FIC,SnakePit,A,B,C,"  and amused by Tollifer and his friends. The fact was, however, that Marigold Brainerd, noting that Aileen favored Tollifer to such an extent that she might even"
23,1859,FIC,AutocratBreakfast,A,B,C,"  , ohne phosphor-geruch, have worn my sensibilities a little. Then there is the MARIGOLD. When I was of smallest dimensions, and wont to ride impacted between the"
24,1851,NF,FlowerGardenBrecks,A,B,C,"  from Paris. The flowers are composite, like the Calendula officinalis, or Pot Marigold, and has some resemblance to that flower, but the foliage is quite different"
25,1963,MAG,SatEvePost,A,B,C,"  Now they moved in a fresh agent, a smooth-checked, boyish fellow, David Marigold, with a soft voice and a sympathetic manner. Mangold was only 23 and"
26,1946,FIC,SnakePit,A,B,C,"  for Tollifer, a small roulette wheel, with the indicator at zero; for Marigold, a handful of toy figures of men: a soldier, a king,"
27,1863,FIC,HannahThurston,A,B,C,"  Miss Thurston answered, "" but I will take a few plants of the flame-colored marigold, if you have them to spare. "" "" Oh, that's trash"
28,1886,FIC,TheirPilgrimage,A,B,C,"  blow. "" And so on, and so on. This was probably the marigold mentioned that they were looking at. The most vivid impression, however, made"
29,1990,NF,ModelsMirrorsTowards,A,B,C,"  colors the Vietnam memorial in D.C. Those coming to pay their respects throw handfuls of marigold blooms and, scattered by the winds, these delicate, brilliantly colored orange-yellow flowers"
30,1851,NF,FlowerGardenBrecks,A,B,C,"  can not be the case in our climate. Calendula offici? ialis. Pot Marigold. A hardy annual, common to the gardens time out of mind, and"
31,1888,FIC,Clover,A,B,C,"  So you will spend the night in town. "" "" Yes. I took Marigold to the stable, and spoke to Mrs. Marsh about a room, and then"
32,1915,MAG,Atlantic,A,B,C,  fence of one of the houses. My eye must have passed over many a marigold before that; I probably never saw one until then. I remember noting their
33,1937,FIC,NorthwestPassage,A,B,C,"  "" It was dark when he left the music school still wearing the garland of marigold and jasmine. The spectacle of a European man garlanded with flowers driving a five-year-old"
34,1998,FIC,LuminousMysteries,A,B,C,"  were now rental properties -- cheaply and sloppily painted purple and white, orange and brown, marigold and blue -- and oddly dull. One of the houses actually improved, as if restored"
35,1946,FIC,SnakePit,A,B,C,"  was hinted to be near-society on the Continent. And, simultaneously, sailing with Marigold for the North Cape, Bruce Tollifer. But no mention of this in any"
36,1946,FIC,SnakePit,A,B,C,"  , Tollifer, in high spirits, was doing his best to ingratiate himself with Marigold, who twitted him as to this latest affair of his, the nature of"
37,1984,MAG,Time,A,B,C,"  .). The lava spilled down blackened mountain slopes in thick rivers of gleaming marigold fire, looking demonically magical, an apprentice sorcerer's wish for gold gone awry"
38,1997,FIC,AnUnsuitableMatch,A,B,C,"  . "" "" When you've finished talking, "" said Derek politely, "" Marigold and I have something to tell you. "" Author Affiliation Rosamunde Pilcher is an"
39,1998,FIC,FantasySciFi,A,B,C,"  would think and what it would do to his back. Where Lemon dead-ended into Marigold, he turned up through the big wrought iron gates of the cemetery, and"
40,1917,NF,LibraryWorkWith,A,B,C,"  illustrated by Arthur Rackham; Kate Greenaway's "" Under the window, "" "" Marigold garden, "" "" Little Ann "" and "" Pied piper "", Laura Starr"
41,1997,FIC,AnUnsuitableMatch,A,B,C,"  my mother. "" I don't believe you've met before. "" "" Marigold. "" She took my hand in both of her own. Her eyes were"
42,1937,FIC,NorthwestPassage,A,B,C,"  he kept seeingthem, plodding flat-footed through the monsoon flood in mackintoshesgarlanded with jasmine and marigold that had been sprinkled with rose water. Still in silence, Miss Dirks always"
43,1997,FIC,BrideWoreRedTales,A,B,C,"  stuffed his headinto a red turban and covered his face with aveil made out of marigold garlands and goldenfringe. "" So no one will give him the evil eye,"
44,1835,NF,NarrativeVisit,A,B,C,"  , the cranberry, the whortleberry, and the strawberry; the rose, the marigold; and the campanula, with a thousand wild plants and flowers, were all"
