entry,year,genre,source,a,b,c,text
1,1962,FIC,Zebra-StripedHearse,A,B,C,"  n't buy pictures. "" "" Nobody buys them. No more. Quoth the Raven, "" Nevermore. ""' "" "" You read Poe? "" "" In"
2,1840,FIC,AirsPalestineOther,A,B,C,"  more Arabia's gums perfume our shores; But Desolation hovers o'er our ships With raven pinions; -- and with skinny lips, And cheeks all shrivelled, Famine stalks"
3,1919,FIC,FirelightFairy,A,B,C,"  last of Malvolia's sentence. The angry fairy turned herself into a great black raven and flew, cawing hoarsely, over the heads of the banqueters and out of"
4,1873,FIC,SevenNineYears,A,B,C,"  arm, and his right hand grasped a long lance. The skin of a raven adorned his head. Shield and lance were flourished, but in vain. Not"
5,1840,FIC,AirsPalestineOther,A,B,C,"  drags his sinuous trail, To marble columns clings the slimy snail, The solemn raven croaks, the cricket sings, And bats and owlets flap their sooty wings;"
6,1993,MAG,NaturalHist,A,B,C,"  , we can only intone the entire vocabulary of his most famous character, the raven: "" Nevermore. "" No second edition for any other book during Poe's"
7,1857,NF,BerthaHerBaptism,A,B,C,"  And proffer up to Heaven the warm request, That He, who stills the raven's clamorous nest, And decks the lily fair in flowery pride, Would,"
8,1823,FIC,ErrataTheWorks,A,B,C,"  the flesh is wet, and the hair saturated. "" "" Locks of the raven, boy -- locks of the raven! -- black, and glossy, as"
9,1977,FIC,Harpers,A,B,C,"  , indeed he went mad on account of it, maintains that he became a raven? an assertion which may not seem so wholly ridiculous to those who have read"
10,1834,FIC,ProseSketchesPoems,A,B,C,  be afraid to tell them.' Well -- they say that he is a raven who croaks ill news; but I must tell you that Inacia Sandoval is to
11,1954,MAG,NatGeog,A,B,C,"  round above the corrie when suddenly, from out of the blue, arrived a raven, croaking gruffly. From a seat on a rock I watched him maneuver to"
12,1910,MAG,Nation,A,B,C,"  makes itself felt in the novel. Ghosts and dreams! Such is "" The Raven ""; such stuff as dreams are made of. And the ghost of the"
13,1993,FIC,FlightDragonKyn,A,B,C,"  not everyone could. I had six winters then, and I called down a raven into the courtyard. I simply held out my arm and called into the sky"
14,1867,FIC,May-Day and,A,B,C,"  gorge of falls. Above, the eagle flew, the osprey screamed, The raven croaked, owls hooted, the woodpecker Loud hammered, and the heron rose in"
15,1834,FIC,Poems,A,B,C,"  the dream of death. With stealthy step the prowling plunderer stalked, The dark-winged raven led her clamorous brood To their full feast, and on the shadowy skirts Of"
16,1839,FIC,Hyperion,A,B,C,"  at the German Emperor of whom he speaks in another letter to the same John Raven, and says, The Emperor drank the best that I ever saw; he"
17,1843,FIC,RingwoodRoverA,A,B,C,"  , and flung her by main force upon a velvet ottoman, with all her raven hair disheveled, the braids which bound it having burst, and all her garments"
18,1950,MAG,Time,A,B,C,"  jays, apes, badgers, squirrels, marmosets, turtle doves, and a raven which he taught to answer the door. In an inventory of goods filed with"
19,1868,MAG,Putnams,A,B,C,"  tree with numerous limbs, and thick covering leaves, and in this tree a raven had his nest. It happened then, one day, as the raven was"
20,2006,NEWS,Chicago,A,B,C,"  Fri-Sat, 8:30 pm; Sun, 3:30 pm. $15. To Oct. 15. Raven Theatre, 6157 N. Clark. (773) 338-2177. # FAIRYSTORIES. Theatre"
21,2004,NEWS,Denver,A,B,C,"  . # When you think it's gone as far as it can, a raven perches on one of the crosses and plucks out an eyeball. There are other"
22,1869,NF,MemoirsExtraordinary,A,B,C,"  . He was looked upon as a false prophet, or compared to the hoarse raven, croaking omens of evil. His friends, however, compared him to Cassandra"
23,1875,FIC,EasternFruitOn,A,B,C,"  , fair to look upon; thou wouldst have thy hair as black as the raven's wing, without buying dye, which thou canst not afford at the present"
