entry,year,genre,source,a,b,c,text
144,1823,-,-,-,-,-,"May be you are from New York? How does buckwheat sell? BLANDFORD: Will you direct me to Major Butler's, who"
2,1827,-,-,-,-,-,"amidst the wrinkles of age. He was traversing his buckwheat field and measuring, as it seemed, the harvest that was now nearly"
102,1827,-,-,-,-,-,"fresh and beautiful with luxuriant ripeness: here the tender buckwheat's gay and snowy fruit, shook to the gentle southern breeze, like"
26,1832,-,-,-,-,-,"classical coteries at Mother Priestly's, where they ate buckwheat cakes, and discussed the state of parties, and where, having more"
115,1833,-,-,-,-,-,"the report afloat that Mr. Hays has left off eating buckwheat cakes in a morning, in consequence of their lying too heavily on his"
87,1837,-,-,-,-,-,"Lucy's lap, snatched from her plate a "" buckwheat "" and offered it to him. "" Willie, dear! "" exclaimed"
146,1840,-,-,-,-,-,"bread and butter.' You may hint at' buckwheat cake,' or you may even go as far as to insinuate'"
128,1844,NF,-,-,-,-,"flour, corn, pork, beef, rye, buckwheat, oats, barley, rice, fish, potatoes, and butter,"
23,1845,-,-,-,-,-,off -- and you tell Emma Jane to make some buckwheat cakes for A --! he can't sup no how without buckwheat cakes
12,1846,-,-,-,-,-,"hammer. "" Mr. Barclay simply remarked, "" The buckwheat cakes were unusually light this morning; "" as if he had not heard"
86,1846,-,-,-,-,-,"hat-boxes. She, carried with her a barrel of buckwheat, a keg of cranberries, and a couple of jars of ginger-dainties for"
94,1847,-,-,-,-,-,"of a tough ox, and measly biscuit, and buckwheat cakes tough as the cook's apron, and old peas in which the"
11,1848,-,-,-,-,-,"notes, His prim clad dames to share The scattered buckwheat, rye or oats Which' scaped the gleaner's care. No buds"
173,1849,-,-,-,-,-,", a place famous for cheap Souchong, and capital buckwheat cakes. "" Well gentlemen, what will you have? "" -- said"
25,1853,NF,-,-,-,-,"late as the 15th July, when they commence on buckwheat, sometimes contain not over five pounds of stores, and yet make good"
