entry,year,genre,source,a,b,c,text
1,1992,MAG,-,-,-,-,"The Appalachian Mountains provide some of the best remaining black bear habitat in the eastern United States. With its half-million forested acres, Great"
2,2000,MAG,-,-,-,-,"the beaches for deer, red fox, and black bear, which often come down to fish in the tide pools. Hiking requires"
3,1843,FIC,-,-,-,-,"neath its ice, The snows that form the black bear's den, To me, bore flowers of paradise. Hours of enchantment"
4,1874,NF,-,-,-,-,wreak a fearful vengeance on his assailants. The black bear springs on his prey in the same way as does the tiger or panther
5,1957,FIC,-,-,-,-,"its fur thicker and finer than that of the black bear. He reflected that the Indians might fear this beast, armed as they"
6,1912,FIC,-,-,-,-,thus rendering the boat virtually bullet proof. The Black Bear was constructed so that it could be almost entirely thrown open to the sunshine
7,1872,FIC,-,-,-,-,"It is very likely that his victim was a black bear. Few men care to hunt the grizzly bear except on horseback, so"
8,1885,MAG,-,-,-,-,"black bear either, but of grizzly. The black bear (the only one we got on the mountains) he had run across"
9,1912,FIC,-,-,-,-,", it is seven days since I ordered the Black Bear and the Wolf sent on here in a special express car. They ought"
10,1912,FIC,-,-,-,-,"heads, floating, drifting, down upon the Black Bear. CHAPTER XVI RED FIRE FROM THE SKY Under the light of the moon"
11,1992,MAG,-,-,-,-,"directed New York's successful pioneering effort to foster black bear cubs in the wild. # APPRENTICE HUNTER PROGRAM # In 1977, the"
12,1912,FIC,-,-,-,-,"on, the cannibals had drawn nearer to the Black Bear, pressing forward from both banks in canoes and pounding at the panels with"
13,1912,FIC,-,-,-,-,"day before the visit of Captain Moore to the Black Bear clubroom, the double doors and closet which enabled one to leave or enter"
14,1912,FIC,-,-,-,-,"let her go! "" The next moment the Black Bear, closely followed by the Wolf, was nearing the canoes, now drawn"
15,1891,FIC,-,-,-,-,"rabbit. Then again the brawny hunter Brought the black bear and the beaver, Brought the haunch of elk and red-deer, Brought the"
16,1912,FIC,-,-,-,-,"hole to drift down stream in. If the Black Bear had only been constructed on the principle of the Wolf, we'd be"
17,1892,FIC,-,-,-,-,"bear had been about. She asked if the black bear of Michigan were dangerous, and he said the black bear of Michigan ate"
18,1843,NF,-,-,-,-,"shoulders he kept, And upon his bosom a black bear slept; And about his fingers with hair o'erhung, The squirrel sported and"
19,1962,NF,-,-,-,-,"glades. The original fauna of these forests included black bear, wild deer, wolf and elk, while smaller animals were the cougar"
20,1980,FIC,-,-,-,-,"fallen in love with, and married, a black bear. They went away, shaken. And returned home where they talked of"
21,1912,FIC,-,-,-,-,"ON THE AMAZON The handsome club room of the Black Bear Patrol, in the city of New York, was situated on the top"
22,1961,MAG,-,-,-,-,"starts, the pup lies playfully tussling with a black bear cub in the bottom of a canoe. All at once the canoe capsizes"
23,1912,FIC,-,-,-,-,"That night the boys kept the engines of the Black Bear going, one remaining on watch all through the dark hours. They had"
24,1912,FIC,-,-,-,-,"to come down. "" The anchor of the Black Bear was lifted and the power turned on. In a minute she was going"
25,1981,FIC,-,-,-,-,"another horse, a large bay, carrying a black bear strapped across it, the bear's hanging head swaying and bobbing with the"
26,1874,NF,-,-,-,-,savage grizzly of the Rocky Mountains; the cunning black bear; and the bear of the Barren Grounds. The beaver might take the
27,1845,FIC,-,-,-,-,"and the bee trees; and woe to the black bear whom he encountered with his paws full of honeycomb, which he was unwilling"
28,1912,FIC,-,-,-,-,"We can't run up to Paraguay in the Black Bear. "" "" We can get away up in the Andes, "" answered"
