entry,year,genre,source,a,b,c,text
1,1822,MAG,NorthAmRev,A,B,C,"  emotion, and seemed to diffuse a higher enjoyment among the pleasure-seekers under the flowering chestnut avenues of the Champs Elys*e. Plant6 and Faure lingered and talked beside the fountain"
2,1826,FIC,LastMohicansANarrative1757,A,B,C,"  the English came into the country. "" "" A pine grew then where this chestnut now stands. The first pale faces who came among us spoke no English."
3,1826,FIC,LastMohicansANarrative1757,A,B,C,"  , while your father and I make a cover for their tender heads of these chestnut shoots, and a bed of grass and leaves. "" The dialogue ceased,"
4,1827,NF,IntroductionMechanical,A,B,C,"  "" green, Beech, medium quality, Alder, Plane tree. Sycamore, Chestnut, green, Ash f from young tree, "" medium quality, Elm,"
5,1828,FIC,FrontierHouseFrom,A,B,C,"  heard save the chirping of a robin, that had built her nest on a chestnut which stood close to the southeast corner of the house, the only tree suffered"
6,1828,FIC,FrontierHouseFrom,A,B,C,"  and at times, a low rustling as the breeze stirred the leaves of the chestnut tree. At length, as she stood at the corner of her house,"
7,1828,FIC,FrontierHouseFrom,A,B,C,"  swift and softly as a shadow over the space that separated the house from the chestnut tree. This tree was an uncommonly large one, and there was a separation"
8,1828,FIC,FrontierHouseFrom,A,B,C,"  and it drove the thick smoke, and showered the burning cinders directly on the chestnut tree. Rebecca felt the scorching heat, while the suffocating vapor almost deprived her"
9,1828,FIC,FrontierHouseFrom,A,B,C,"  a drawing of his little plantation and house, including, of course, the chestnut tree. The Indian surveyed it in silence, and Edward thought no more of"
10,1828,FIC,AndrewJackson,A,B,C,"  there, General Jackson no more murdered the six deserters than I murdered a horse chestnut. Adams-man. An Adams-man Huzza for Jackson! sixty death-warrants! aha! Jackson"
11,1829,FIC,SketchesAmerican,A,B,C,"  of the color of her hair, whether it was black, brown, or chestnut. The qualities of her mind and temper demand more particular scrutiny. She was"
12,1829,MAG,NorthAmRev,A,B,C,"  rails, and furnished with notches for wooden rails of oak, hard pine or chestnut, faced with iron plates as before, and connected by ties extending across the"
13,1829,NF,ChronicleConquest,A,B,C,"  description of the state and grandeur of the Catholic sovereigns. The queen rode a chestnut mule, seated in a magnificent saddle-chair decorated with silver gilt. The housings of"
14,1829,NF,ChronicleConquest,A,B,C,"  , embroidered round the crown and brim. The infanta was likewise mounted on a chestnut mule richly caparisoned: she wore a brial or skirt of black brocade and a"
15,1829,NF,ChronicleConquest,A,B,C,"  passed. The king now came forth in royal state, mounted on a superb chestnut horse and attended by many grandees of Castile. He wore a jubon or close"
16,1829,NF,ChronicleConquest,A,B,C,"  mounted "" a la guisa, "" or with long stirrups, on a superb chestnut horse, with trappings of azure silk which reached to the ground. The housings"
17,1830,FIC,ClarenceATaleOur,A,B,C,"  . IN TWO VOLUMES. VOL. I. PHILADELPHIA. CAREY &; LEA. -- CHESTNUT STREET. 1830. Acknowledgment Southern District of New York, to wit. Be"
18,1830,MAG,NorthAmRev,A,B,C,"  . The description of this ceremony, which takes place by torch-light, beneath the chestnut of a hundred knights,' is highly animated and beautiful. Arrayed in the"
19,1831,FIC,TalesPuritansThe,A,B,C,"  this hour I should again meet the stranger. Jane parted with me on the chestnut knoll, and just as she was quite hidden from sight among the trees,"
20,1831,FIC,AmericanCommon-place,A,B,C,"  pine is bending his proud top, and now, Among the nearer groves, chestnut and oak Are tossing their green boughs about. He comes! Lo where the"
21,1831,FIC,EvilEye,A,B,C,"  , on the coast of Scio -- a cottage stood on the borders of a chestnut wood, inhabited by the widow of a wealthy islander, and her daughter,"
22,1832,FIC,SwallowBarnASojourn,A,B,C,"  Prologue to the Morte D'Arthur. VOL. I. PHILADELPHIA: CAREY &; LEA, CHESTNUT STREET. 1832. Acknowledgment Entered according to Act of Congress in the year 1832"
24,1832,FIC,SwallowBarnASojourn,A,B,C,"  did not run many paces before they halted at the root of a large chestnut that threw its aged and ponderous branches over an extensive surface, and whose distant"
25,1832,FIC,SwallowBarnASojourn,A,B,C,"  This aid came opportunely for our purpose, as it brought the top of the chestnut in distinct relief upon the faintly illuminated sky. The motion of the upper leaves"
26,1832,MAG,NorthAmRev,A,B,C,"  to every civilized country by human care. Ca*sar is said to have brought the chestnut from Sardis into Europe, an act by which he rendered more service to mankind"
27,1832,MAG,NorthAmRev,A,B,C,"  Among the fruit-bearing trees are some admirably suited to ornamental purposes, such as the chestnut, which is stately and noble, and particularly striking when its blossoms burst from"
28,1832,NF,DomesticManners,A,B,C,"  . On crossing the water to Kentucky the scene is greatly improved; beech and chestnut, of magnificent growth, border the beautiful river; the ground has been well"
29,1832,NF,DomesticManners,A,B,C,"  almost felt it awful. As we walked home one fine moonlight evening from the Chestnut Street house, we stopped a moment before the United States Bank, to look"
30,1833,FIC,LifeWritingsMajor,A,B,C,"  thing on paper. Now jest see about the Bank. There it stands in Chestnut street, with its hundred cord of specie, and its cart load of books"
31,1833,MAG,NewEngMag,A,B,C,"  her lap, and plan some new excursion, while she would play with his chestnut hair, and try to give him the enviable air of her uncle, the"
32,1833,MAG,NewEngMag,A,B,C,"  and as his face was turned from the light, she saw none. His chestnut hair fell, as in boyhood, curling over his pale forehead, and his"
33,1833,NF,DeppingsEvening,A,B,C,"  you ascend the mountuns vegetation diminishes; pines and firs succeed to the ash and chestnut; these in Iheit turn yield to brushwood and aromatic plants, which form excellent"
34,1834,FIC,ProseSketchesPoems,A,B,C,"  fair even to effeminacy, and his blue eyes were shaded by a profusion of chestnut hair; he, too, seemed expecting some one to appear amid the enemy"
