entry,year,genre,source,a,b,c,text
37,1847,NF,NaturalistInNicaragua,A,B,C,"  it is, on the northern side, covered with the flowers of a caulescent orchid (Ornithorhynchos) that has not been found anywhere else in the neighbourhood; and"
366,1873,FIC,MysteryMetropolisville,A,B,C,  Culture of the Rose. Culture of the Verbena. Culture of the Tuberose. Orchid Culture. Holland Bulbs. Cape Bulbs. Winter-Flowering Plants. Construction of Bouquets.
178,1878,FIC,NabobVolume12,A,B,C,"  kind he must have roots in the soil of his nativity. Daudet was no orchid, beautiful and scentless; his writings have always the full flavor of the southern"
310,1883,NF,GoldenChersonese,A,B,C,"  for it the name of the "" Flower of the Holy Ghost, "" an orchid (Peristeria elata) which lives but for a day, but in its brief"
87,1887,FIC,ConfessionsCriticisms,A,B,C,  now proved to be as false as they were vain. Art is not an orchid: it can not grow in the air. Unless its root can be traced
90,1889,NF,ChopinOtherMusical,A,B,C,"  and their fragrance does not blend. How much lovelier is a single violet or orchid in the fields, unhampered by strings and wires, and connected solely with its"
192,1889,NF,ChopinOtherMusical,A,B,C,"  and their fragrance does not blend. How much lovelier is a single violet or orchid in the fields, unhampered by strings and wires, and connected solely with its"
201,1890,MAG,Scribners,A,B,C,"  And in this garden there should be no attempt to make a lily of an orchid, or to train a violet into the gay flower of the parterre; nor"
24,1891,NF,CatalogueEconomic,A,B,C,"  medicine. 422. VANILLA PLANIFOLIA. -- The vanilla plant, which belongs to the orchid family. The fruit is used by confectioners and others for flavoring creams, liquors"
309,1891,NF,CatalogueEconomic,A,B,C,"  are several species, but this gives the finest fruit. It is a climbing orchid, and is allowed to climb on trees when cultivated for its fruit. In"
125,1894,FIC,AsWeGo,A,B,C,  which should set up to be an orchid when it does not belong to the orchid family. It is required here that those who are emancipated from the daily grind
398,1894,FIC,AsWeGo,A,B,C,"  in this atmosphere, as a flower would which should set up to be an orchid when it does not belong to the orchid family. It is required here that"
173,1895,MAG,Atlantic,A,B,C,"  hues of mauve, blue, purple, lavender, and white. The twisted orchid, or lady's-tresses, with its spike of frosted white bells, smelling of bitter"
182,1895,FIC,PrincessAline,A,B,C,"  can talk and think and feel? She is much more worth while than an orchid. "" Miss Morris laughed indulgently. "" Well, I didn't know such"
418,1899,MAG,Atlantic,A,B,C,"  afternoon there, he and I, only two years ago, searching for an orchid which just then had come newly under discussion among hotanists, and how pleased he"
36,1901,NF,WildFlowers,A,B,C,"  exotic in a millionaire' s hothouse. # A glance at the spur of this orchid, one of the handsomest and most striking of its clan, and the heavy"
49,1901,NF,WildFlowers,A,B,C,"  spike and works up to the younger ones; a fact on which this little orchid, like many another plant that arranges its b1ossoms in long racemes, depends."
63,1901,NF,WildFlowers,A,B,C,"  note after Common Daisy. # LARGE ROUND-LEAVED or GREATER GREEN ORCHIS (Habenaria orbiculata) Orchid family # Flowers - Greenish white, in a loosely set spike; the upper"
79,1901,NF,WildFlowers,A,B,C,"  and heavily perfumed to guide visitors to their feast, that is the great purple-fringed orchid' s benefactor, since the length of its tongue is perfectly adapted to its"
91,1901,NF,WildFlowers,A,B,C,"  long-lipped bees to feast in July and August. Inasmuch as without their aid the orchid must perish from its inability to set fertile seed, no wonder it woos its"
106,1901,NF,WildFlowers,A,B,C,"  to the luminous description by Dr. Asa Gray. # WHITE-FRINGED ORCHIS (Habenaria blephariglottis) Orchid family # Flowers - Pure white, fragrant, borne on a spike from 3"
124,1901,NF,WildFlowers,A,B,C,"  States southward to the Carolinas. # Wonderfully interesting structure and the comparative rarity of this orchid, rather than superficial beauty, are responsible for the thrill of pleasure one experiences"
135,1901,NF,WildFlowers,A,B,C,"  our Southern States, westward to Nebraska. # Of the six floral leaves which every orchid, terrestrial or aerial, possesses, one is always peculiar in form, pouch-shaped"
185,1901,NF,WildFlowers,A,B,C,"  s sole delight will wonder why a flower so exquisitely beautiful as this dainty little orchid should be hidden in inaccessible peat-bogs, where overshoes and tempers get lost with deplorable"
