entry,year,genre,source,a,b,c,text
489,1821,NF,VerminDestroyer,A,B,C,"  from them; as the toad, redbreast, woodpeckers, moth, hornet, lizard, swallow, sparrow, spider, serpent, and stork; all which are"
451,1822,FIC,OdofriedeOutcast,A,B,C,"  the sweltering toad doth hide, Where the brindled cat doth bide -- Where the lizard makes his nest, Where the fenny snake hath rest -- Where the owlet holds"
236,1824,MAG,NorthAmRev,A,B,C,"  no other interruption than the rapid movement, now and then, of a beautiful lizard, which he has startled from basking in the sunshine. The still sea at"
146,1831,MAG,NorthAmRev,A,B,C,"  from six to ten feet high; also of the Pterodactylus. Macronyx, a lizard, with powerful membmanaceous wings, fitted for transporting it to short distances, and"
19,1832,FIC,SwallowBarnASojourn,A,B,C,"  gown being of an obsolete fashion, sprinkled with roses and sun-flowers, and her lizard arms encased in tight sleeves as far as the elbow, where they are met"
61,1834,FIC,GuyRiversATale,A,B,C,"  made out of rotten rye. Answer to that, Jared Bunce, you white-livered lizard. "" Thus did one of his accusers take up the thread of the discourse"
598,1834,MAG,NewEngMag,A,B,C,"  picture the robin, with his red bosom and delightful song, better than the lizard or the toad. My sorrows, seen in perspective of the sun-light of the"
954,1834,FIC,CalavarTheKnight,A,B,C,  returning to their huts among the Chinampas. Quiet stole over the valley; the lizard crept to his hole; the bat woke up in the ruined chambers of the
189,1835,FIC,[PoemsIn]TheRosary,A,B,C,"  said' Midst halls of mighty dead, with weeds o'ergrown, Where the green lizard broods on the damp threshold-stone. Names, lofty in their day, Fade like"
506,1835,FIC,AnOldSailorsYarns,A,B,C,"  himself. But at this period -- that is, six weeks after leaving the Lizard Point, and while the two ships were in that peculiarly disagreeable strip of salt"
226,1838,MAG,NorthAmRev,A,B,C,"  . "" The ancient and religious lady, the dowager of my friend Sir Ambrose Lizard, has for some time estranged herself from conversation, and admits only the visits"
841,1838,MAG,NorthAmRev,A,B,C,"  . We may not hear the Spectator and Guardian, Addison and Steele, the Lizard family and Sir Roger de Coverley as frequently and heartily named as when we were"
158,1839,FIC,IsabelSicilyAPilgrimage,A,B,C,"  what a vine has spread its tendrils over this capital, and note that brightlypainted lizard glide fearlessly over this splendid segment of a majestic column. "" "" Yet,"
261,1840,FIC,AirsPalestineOther,A,B,C,"  now, though' t is a January day,) How gingerly that quick-eyed lizard runs, In the warm sunshine, up and down their grooves, It seems"
429,1841,FIC,Essays —FirstSeries,A,B,C,"  Rome, and Paris, and Constantinople! What does Rome know of rat and lizard? What are Olympiads and Consulates to these neighboring systems of being? Nay,"
531,1841,FIC,Essays —FirstSeries,A,B,C,"  our actual knowledge very cheap. Hear the rats in the wall, see the lizard on the fence, the fungus under foot, the lichen on the log."
942,1841,FIC,MonaldiATale,A,B,C,"  and I saw him rush past it. "" "" Come, leave crossing your lizard's liver, "" said Fialto, "" and go on. "" "" I"
87,1843,FIC,IdomenValeYumuri,A,B,C,"  There was once, I am told, a superstition, which taught that the lizard was on certain occasions sent to warn persons of danger. The degree of heat"
105,1843,FIC,YankeeLand,A,B,C,"  a natural born fool. -- Ha, ha! Take a chipmunk for a lizard, and chase him into the swamp. I suppose, as you took it"
114,1843,FIC,IdomenValeYumuri,A,B,C,"  its culture; and fruits are abundant around it. The tameness of the small lizard is a surprising circumstance; it seems to put entire confidence in human beings,"
305,1843,FIC,YankeeLand,A,B,C,  Josephine Indeed. Who is he? Lot. Lot Sap Sago He's a lizard hunter. Jo. Josephine A lizard hunter? Lot. Lot Sap Sago Yes
326,1843,FIC,WildScenesInForest,A,B,C,"  were any water in the well. "" About enough to come up to a lizard's ear, "" answered Hank; "" but there's a smart chance of"
515,1843,FIC,YankeeLand,A,B,C,"  : it ain't fit to shoot any thing but gallinippers. I say, lizard genius, you stay here, and I'll bring you a bear home for"
