entry,year,genre,source,a,b,c,text
1,1851,FIC,MobyDickWhale,A,B,C,"  it was plain that the whale alongside must be what the fishermen call a blasted whale, that is, a whale that has died unmolested on the sea, and"
2,1851,FIC,MobyDickWhale,A,B,C,"  . But it may possibly be conceived that, in the internal parts of the whale, in his anatomy -- there, at least, we shall be able to"
3,1851,FIC,MobyDickWhale,A,B,C,"  66. The Shark Massacre. When in the Southern Fishery, a captured Sperm Whale, after long and weary toil, is brought alongside late at night, it"
4,1936,FIC,HeadOW-Hollow,A,B,C,  boys -- better to have it done in accordance with the Law. You know what Whale Isom got into over buryin that man like a cut-up dog that time. Have
5,2002,FIC,SouthernRev,A,B,C,"  was nothing on the horizon but more of them. He looked down. The whale was gone. All the navy divers, were out of the water. The"
6,1917,MAG,Atlantic,A,B,C,"  wisdom and social ethics, her discipline of industry and self-control, is like a whale awakening the lust of spoil in the heart of the nation. She is already"
7,1837,NF,AnAccompaniment,A,B,C,"  the rivers. There are about 12,000 tons of shipping from this State in the whale fishery; and, in 1834, 30,000 barrels of whale and sperm oil were"
8,1964,FIC,President,A,B,C,"  in mind -- as if he were watching a vision of two zeppelins and a whale joggling around loosely under a two-acre fieldhouse ceiling. "" Tommy Barker's going to"
9,1823,MAG,NorthAmRev,A,B,C,"  When this is not the case, they are proportionally small, as in the whale tribe, where the blowing holes occupy the place of the nose, the olfactory"
10,1996,FIC,SouthernRev,A,B,C,"  was the observation of the Sabbath -- from pious Columbus to Pittsburgh. # The whale was holding up, but the men were growing weary. Their tempers showed it"
11,1907,FIC,FootRainbow,A,B,C,"  here is a picture of a man in a boat, pullin' in a whale with a pole just like this, "" bragged Jimmy. "" Yes, """
12,1977,FIC,IJudas,A,B,C,"  He regarded me with an enigmatic smile. "" You know of Jonah and the whale? "" "" A fine fairy tale, "" I said. "" More of"
13,2002,MAG,Antiques,A,B,C,"  because it heated more easily With the spread of Argand lamps, the price of whale oil increased so that only the upper middle class and the wealthy could afford to"
14,1935,MAG,Atlantic,A,B,C,"  , it didn't begrudge the money. But Anthony was and is a white whale. In their zeal to cut corners, some publishers created a distinctly false impression"
15,1851,FIC,MobyDickWhale,A,B,C,"  thou see the White Whale? -- how long ago? "" "" The White Whale, "" said the Englishman, pointing his ivory arm towards the East, and"
16,1951,FIC,CruelSea,A,B,C,"  . They came to the cellar-like storehouse. As they entered, Sigrid lighted the whale oil lamp swinging from overhead. An eery yellow glow showed them the shelves built"
17,1982,FIC,ColorPurple,A,B,C,"  her. "" "" But she's not here now. We just put The Whale to bed, and she's on The Sun. She comes in at six"
18,1994,FIC,FantasySciFi,A,B,C,"  graceful, two-toned, two-tonned, twenty-two-feet-long, large-teethed, air-breathing mammal. A killer whale. # Even before he sees it floating on the surface at an odd angle"
19,1965,NF,365ShortcutsHome,A,B,C,"  , but there is the question of proportion and balance. For instance, a whale of a big sofa, not only wide and cushiony but stretching from here to"
20,2000,MAG,Time,A,B,C,  us and the landscape is black and white.) # You put on your whale T shirt and shorts and walking shoes with wool socks and a pack with a
