entry,year,genre,source,a,b,c,text
1,1952,FIC,Harpers,A,B,C,"  around a beam and the bung driven fast into the bunghole. But Charlie's squirrel rifle lay on the floor, and beside the bunghole in the hogshead an-other hole"
2,1994,FIC,FantasySciFi,A,B,C,"  we all looked and saw something racing away at phenomenal speed. # "" Another squirrel "" I asked. # Kevin just smiled. # The man behind me said"
3,1908,FIC,DorothyDaleGirl,A,B,C,"  if he would only stay quiet, but he is about as quiet as my squirrel in its new cage, "" said Joe. "" Home again, "" called"
4,1985,FIC,Play:SandMountain,A,B,C,"  with mine. Friendly and pleasant, as the flowers are made. Turkey and squirrel, Sam. But if you yell Bible scripture at me, like Radley Nollins"
5,1889,NF,FingerPlaysNursery,A,B,C,"  round, or very fast If you faster run. "" 2. "" Little Squirrel, I will bring In my basket here Every day a feast of nuts!"
6,1866,NF,CampaignsNon-Combatant and,A,B,C,"  and the trees on every hand were riddled with balls. I came upon a squirrel, unwittingly shot during the fight. Not those alone who make the war must"
7,1939,FIC,Yearling,A,B,C,"  pets. He had Racket the raccoon, Push the' possum, Squeak the squirrel, and Preacher, the lame red-bird, who sang from his perch, """
8,2000,FIC,FantasySciFi,A,B,C,"  the Molly-thing gravely. "" An old hollow stump where a squirrel sleeps, a squirrel with quick and clever claws that scratch on polished wood, I shall be a"
9,1913,MAG,Harpers,A,B,C,"  The men were a sculptor, pottering with clay, and his model. The squirrel sprang up a near by butternut-tree, sat down on a limb, and had"
10,1944,FIC,HistoryRomeHanks,A,B,C,"  smiled. He had a little book of Keats's poems in his hand. Squirrel's got a whole crib full of nuts, he said. Gon na have"
11,1971,FIC,DeathFox,A,B,C,"  those places. For he still had a purse, with coins saved as a squirrel hoards nuts, against this day. And the porter would have occasion to supplement"
12,1856,FIC,MythHiawathaOther,A,B,C,"  he now felt to be renewed, transformed them all into the Adjidamo, or squirrel, an animal which is still found to have the habit of barking, or"
13,1845,FIC,MargaretATaleReal,A,B,C,"  as we know of, "" replied the mother. "" You take away the squirrel, and run to your plays. "" Dick meanwhile wrested himself from the hand"
14,1991,FIC,Ploughshares,A,B,C,"  , "" he said, jogging toward the shop. "" I mean it, Squirrel. You stay put. "" # The moment he was gone, Ellen moved"
15,1949,MAG,Harpers,A,B,C,"  lawn before my bench. Whoever had erected it was a bird-lover, not a squirrel enthusiast, that much was certain. It was on top of a section of"
16,1913,NF,BriefCourseInTeaching,A,B,C,  in a fourth grade a boy told a wonderful story of the activities of a squirrel. Ordinarily the teacher might have been expected to tell the boy that the story
17,2002,FIC,SouthernRev,A,B,C,"  # She shook her head and walked past him. # "" I got some squirrel meat in the freezer I could fry up right quick, "" he said,"
18,1949,FIC,DishonestMurderer,A,B,C,"  than frightened. Her thoughts no longer ran, around and around, in the squirrel cage of her mind. All fleetness seemed to have left her mind; it"
19,1873,FIC,OtherGirls,A,B,C,  the little country beast had ever seen drain-pipe before. He had once driven Red Squirrel past a steam boiler that was being transported on a truck. He remembered the
20,1912,FIC,ChumsInDixie,A,B,C,"  quail, or the bounding deer. But every time he thus decided, the squirrel seemed to guess his hostile intentions; for it vanished from sight, running up"
21,1856,NF,IndianFairyBook,A,B,C,"  him of his guardian, and invoking his aid, and changing himself into a squirrel, he mounted nimbly up again, in the hope that the lodge would not"
22,1985,FIC,Play:SandMountain,A,B,C,"  I didn't do no good atall. And he died, and this is squirrel now and turkey, I'm glad he died and I'm free of him"
23,1869,NF,DelugeInLightModern,A,B,C,"  and ant-eater, thirty-five; rodentia, or gnawers, such as the rat, squirrel, and beaver, six hundred and seventeen; carnivora, or flesh-eaters, four"
24,1915,NF,IndianWhyStories,A,B,C,"  were running about the fire -- all chasing one Squirrel. As soon as the Squirrel was caught, they would bury him in the ashes near the fire until he"
25,1957,FIC,OldManBoy,A,B,C,"  between the shoulders will make a man stop and think, let alone an old squirrel. From where this fellow lay, he looked as big as a tomcat."
26,1903,MAG,Atlantic,A,B,C,"  the jury, What discoveries he has made! Among others, that the red squirrel has cheek pockets in which lie can carry half a dozen chestnuts at a time"
27,1903,MAG,Century,A,B,C,  ? My neighbor met in the woods a blacksnake that had just swallowed a red squirrel. Now your romance-naturalist may take such a fact as this and make as pretty
28,1939,MAG,Harpers,A,B,C,  . When I seen that nigger foul you I went home and got the old squirrel gun. I been livin' on this here island more'n twenty years. If
29,1915,FIC,Mov:BirthNationThe,A,B,C,"  tosses something at it. 1005 CU, CV: as in 1003. The squirrel picks up a nut and begins to chew on it. 1006 MLS: as"
30,1897,MAG,Atlantic,A,B,C,  trees and interrupting work occasionally to watch a weasel gliding over a rock or a squirrel in the boughs. I took the boys with me in my rambles and it
31,1917,NF,HowKnowYourChld,A,B,C,"  , "" he demanded. And I mentioned the cow, the hen, the squirrel, the rabbit, and other animals familiar to him. Fred became intensely amused"
32,1923,FIC,Confidence-Man,A,B,C,"  moss-ball; and over it, deer-antlers branched; and close by, a small squirrel sprang out from a maple-bowl of nuts, brushed the moss-ball with his tail,"
33,1943,MAG,SatEvePost,A,B,C,"  it seems like two years. Down in the ball turret, crouched like a squirrel in a woodpecker's hole, Claiborne Wilson. of Holly Springs, North Carolina"
34,1918,FIC,Play:ShellShock,A,B,C,  at the time; but I managed to pull through. You can put a squirrel in the ground. (The waiter comes back bringing the iced coffee which he
35,1854,FIC,Walden,A,B,C,"  will shear them off with both buds and young pods, sitting erect like a squirrel. But above all harvest as early as possible, if you would escape frosts"
36,1943,FIC,HumanComedy,A,B,C,"  handkerchief tied around his jetblackhair, cooking a guisado, a compound of birds, squirrel, dried red peppers and rice stewed together. Gregorio liked to picture himself in"
37,1851,MAG,NorthAmRev,A,B,C,"  cover, and then have a burdened conscience because they skipped the advertisements. No squirrel can be more expert in extracting the kernel from his nut, than one of"
38,1954,MAG,SportsIll,A,B,C,"  sling like this, a good shooter could bring home the fixings for many a squirrel pie. // STEADY STANCE AND CAREFUL EYE // In shooting there's almost no"
39,1953,FIC,GoldenApplesSun,A,B,C,"  might just up and fill me with buckshot, thinkin' I was a hill squirrel in the dooryard. Oh... "" Old Lady nodded at a tree. """
40,1943,MAG,Time,A,B,C,  used in Dr. Francis' experiment was taken in 1923 from a sick California ground squirrel. It was used to inoculate 48 test tubes partly filled with beef infusion agar
41,1909,FIC,WhatDianthaDid,A,B,C,"  descendants after them, pair following on pair; first with slow-turning wheels as in squirrel cages, the wheel inexorably going, machine-driven, and the luckless little gluttons having"
42,1984,FIC,ColourMagic,A,B,C,"  was much tastier than sap, and there could be absolutely no comparison between a squirrel and the girl sitting before him, clasping her knees and watching him thoughtfully,"
43,1993,FIC,TalismansShannara,A,B,C,"  edges as clean as if cut by a knife. Stormwing? she asked the squirrel, picturing one for him. Yes, he replied. One landed on my"
44,1899,FIC,HowCookHusbands,A,B,C,"  brutally, and goes on, whistling indifferently, while I pick up the dead squirrel lying at my feet. I find myself crying, before I know it."
45,2002,FIC,FantasySciFi,A,B,C,"  their branches and the doe fled for its life. So did every bird, squirrel, rabbit, raccoon, and gray fox within miles. By the time Henry"
46,1938,FIC,TellTime,A,B,C,"  far as it would go - the knocker delicately molded into the shape of a squirrel, which, in the bronze, seemed almost as lithe and eager as the"
47,1866,FIC,GoodCompanyEvery,A,B,C,"  pipes he. Little Bell looked up and down the glade: "" Squirrel, Squirrel, from the nut-tree shade, Bonny Blackbird, if you' re not afraid"
48,1995,FIC,Mov:Species,A,B,C,"  - - Something comes at Press fast from out of the darkness - - a squirrel runs toward him along a limb, leaps the gap to another branch and scurries"
49,1951,FIC,CruelSea,A,B,C,"  , "" I said. And added innocently: "" I think it was a squirrel. "" "" I saw un, "" he said. "" That weren't"
50,1965,FIC,JournalFromEllipsia,A,B,C,"  start, having forgotten that everybody has them. Circumstances. "" That's no squirrel out there, Marie. "" "" You're just nervous. Do let me"
51,1949,MAG,Harpers,A,B,C,"  the last on the edge of a dying city that I thought I recognized my squirrel. He was farther out of the woods now, bolder, and a bit"
52,1919,FIC,BackNorthWind,A,B,C,"  here and there at the bottom. As he looked down, he saw a squirrel appear suddenly and as suddenly vanish among the top-most branches. "" Aha! Mr."
53,1932,FIC,Sons,A,B,C,"  been worrying. She has gone round and round in her mind, like a squirrel in a cage, but not a word has escaped. All the conditions of"
54,1943,MAG,NatGeog,A,B,C,"  , Nicanor Kendall, designed an underhammer rifle after he had tried to shoot a squirrel while riding in a sleigh, with the result of wounding himself and sending a"
55,2002,FIC,SouthernRev,A,B,C,"  Little Puddles right now could be having himself a big old ball filling up on squirrel meat, "" he said, and waited for her to laugh. When she"
56,1939,FIC,Yearling,A,B,C,"  Again Jody longed for something of his own. Fodder-wing would give him the fox squirrel, even, he believed, the baby' coon. But past experience had"
57,1871,FIC,AdmetusOtherPoems,A,B,C,"  sedge the bright-eyed water-mouse Nibbled its food, while overhead, its kin, The squirrel, frisked among the trees. The air Was full of life and sound of"
58,1921,FIC,FamousModernGhost,A,B,C,"  you should want to ask the way, a farmer is as shy as a squirrel, and if you knock at a farm-house door, all is as silent as"
59,1876,NF,WinterSunshine,A,B,C,  a part a shrill nasal sound. The distant bark of the more wary gray squirrel may be heard about the same time. There is a teasing and ironical tone
