entry,year,genre,source,a,b,c,text
1,1827,MAG,NorthAmRev,A,B,C,"  half commercial, half military, wherever a band is to be subjected or a muskrat to be caught. * And with what effect upon the means and morals of the"
2,1832,FIC,SwallowBarnASojourn,A,B,C,"  any devilish thing out of heart. "" "" Did you ever know a dead muskrat, "" asked Ned, "" to be changed into a live pullet? Now"
3,1837,NF,AnAccompaniment,A,B,C,"  . The principal fur-bearing animals of North America are the beaver, musquash, or muskrat, pine-marten, pekan, or fisher, the Canada lynx, raccoon, and"
4,1838,MAG,USDemRev,A,B,C,"  great empire on the North Pacific, where I once established an Agency for buying muskrat and mink skins. But alas! there is nothing perfect in this world,"
5,1839,FIC,WhigsDemocrats,A,B,C,"  democracy, -- the people's spy glasses, by which they find out those muskrat politicians who are continually boring under the constitution? Mrs. R. Mrs. Roundtree No,"
6,1839,MAG,NorthAmRev,A,B,C,"  restored, and Manabozho does this great work out of the mud clutched by a muskrat, which had died in the attempt, made at Manabozho's request, to"
7,1843,FIC,VariousWritings,A,B,C,"  , "" said he, "" have you got the money by you for those muskrat skins? "" "" No, I hav'n't just now, "" replied the"
8,1845,FIC,MargaretATaleReal,A,B,C,"  , sparkling black eyes, large black whiskers meeting under his chin, like a muskrat. "" "" Raxman! "" "" Raxman! what do you mean? """
9,1849,FIC,WesternMerchant,A,B,C,"  room and two "" lofts "" pretty well filled with coon skins, otter, muskrat, &c.; The store smelt like a hatter's shop, and Joseph sometimes evinced"
10,1849,FIC,WoodmanOtherPoems,A,B,C,"  everywhere, His cup is always at the brim. Within the marsh, the muskrat gnaws Sweet flag-root at his piquant meals, And where the sly fox touched his"
11,1851,FIC,LouisSchoolDays,A,B,C,"  your vulgar scents. "" "" His millefleurs is at all events uncommonly like a muskrat, "" said Salisbury. "" And, "" remarked Frank, "" as that"
12,1854,FIC,Walden,A,B,C,  . He was a lucky fox that left his tail in the trap. The muskrat will gnaw his third leg off to be free. No wonder man has lost
13,1856,FIC,MythHiawathaOther,A,B,C,"  , but rose up to the surface a lifeless form. He then saw a muskrat. "" Dive! "" said he, "" and if you succeed, you"
