entry,year,genre,source,a,b,c,text
87,1823,NF,ViewHebrewsExhibiting,A,B,C,"  tribe; their tiger tribe; panther tribe; buffalo tribe; bear tribe; deer tribe; raccoon tribe; eagle tribe, and many others. What other nation"
103,1823,NF,ViewHebrewsExhibiting,A,B,C,"  meet; when a deer and some of the first fruits are provided. The deer is divided into twelve parts; and the corn beaten in a mortar, and"
293,1823,MAG,NorthAmRev,A,B,C,"  . Each warrior had, besides his arms, and rattles made of strings of deer's hoofs, some part of the intestines of an animal inflated, and inclosing"
989,1823,FIC,WildernessBraddocks,A,B,C,"  , who had been hewing timber at some distance from the rest, perceiving a deer, threw down his axe, and seizing his gun, (for, to"
296,1824,FIC,Hobomok,A,B,C,"  ""' Tisn't yours, "" retorted the other, furiously; "" the deer hadn't run ten rods; and a hunter never gave up a beast under"
622,1824,FIC,Hobomok,A,B,C,"  that tells of frost gone by. In the dance she was nimble as the deer, and quick as the diving loon. But the quiver of Mohegan was sent"
685,1824,FIC,Hobomok,A,B,C,"  on the wing, and from his hand it seldom missed its mark. The deer sprung high into the air, its beautiful white breast was displayed for an instant"
737,1824,FIC,Hobomok,A,B,C,"  the belt. "" Him like the rainbow, put on the back of the deer; and him like the heaped snow, put on the big snake. That"
771,1824,FIC,Hobomok,A,B,C,"  real flesh and blood. "" Hobomok much late has been out to watch the deer tracks, "" answered the Indian; "" and he came through the hollow,"
953,1824,FIC,Hobomok,A,B,C,"  and the brown hunter's shouts were loud Amid the forest; and the bounding deer Fled at the glancing plume, and the gaunt wolf yelled near. Bryant."
954,1824,FIC,Hobomok,A,B,C,"  morning couds. I will come back to my wakon-bird, laden with beaver and deer. "" The whole scene was singularly melancholy. Nothing but the face of the"
945,1825,FIC,TravellersATale,A,B,C,"  the European and Indian costumes. He wore a jacket with long sleeves made of deer skin, and closely fitted to his arms and breast. He had a mantle"
167,1826,FIC,LastMohicansANarrative1757,A,B,C,"  "" are dogs that whine, when the Frenchman casts ye the offals of his deer! "" Twenty knives gleamed in the air, and as many warriors sprang to"
314,1826,FIC,LastMohicansANarrative1757,A,B,C,"  rear; and a Delaware leaping high in to the air, like a wounded deer, fell at his whole length, dead. "" Ah, I feared some"
412,1826,FIC,LastMohicansANarrative1757,A,B,C,"  drove him back into the center of his relentless persecutors. Turning like a headed deer, he shot, with the swiftness of an arrow, through a pillar of"
556,1826,FIC,LastMohicansANarrative1757,A,B,C,"  for to my ears the woods are dumb. "" "" There is but one deer, and he is dead, "" said the Indian, bending his body till"
847,1826,FIC,LastMohicansANarrative1757,A,B,C,"  of the Lenape driven from their council-fires, and scattered, like broken herds of deer, among the hills of the Iroquois! I have seen the hatchets of a"
987,1826,FIC,LastMohicansANarrative1757,A,B,C,"  bounded from the place at the cry, with the activity and swiftness of a deer. Instead of rushing through the hostile lines, as had been expected, he"
161,1827,FIC,BuccaneersARomance,A,B,C,"  stand by panting with delight while the knife is drawn across the throat of the deer, eager and rejoicing in the portion of the spoil which their masters might award"
439,1827,FIC,BuccaneersARomance,A,B,C,"  its dwelling place; -- close to the brink of the stream, the dun deer, in undisturbed troops wandered, bounding gracefully and tossing their branching antlers in the"
457,1827,FIC,BuccaneersARomance,A,B,C,"  ' Sblood! I had as soon make good a breach with a herd of deer as trust them; aye it were better, for a hart at bay oft"
867,1827,FIC,HopeLeslieVolume1,A,B,C,"  Joy and hope shot through Everell's heart as he sprang, like a startled deer, but the Mohawk, awakened too by the noise, grasped his leg with"
998,1827,FIC,BuccaneersARomance,A,B,C,"  Indian herb, unknown to the votaries of science; the heart-shaped leaves of the deer's tongue, the sassafras and the star weed, lent their genial powers;"
157,1830,MAG,NorthAmRev,A,B,C,"  an Indian to hold possession of a country, merely because he once chased a deer over a tract containing a thousand square miles? Were we disposed to be captious"
205,1830,MAG,NorthAmRev,A,B,C,"  inequality in the ground, that could have concealed a much smaller animal than a deer. He returned to his lodge, made a solemn feast, at which his"
230,1830,FIC,Carabasset,A,B,C,"  dotard of a priest confided thee, Fled on the first alarm, like startled deer. They had, in truth, but little time for gallantry, Tho'"
374,1830,FIC,BetrothedWyoming,A,B,C,"  a couple of pointers, were on the look-out for game, as the wild deer and the wild pigeons were then abundant in the woods. Of the latter they"
869,1831,FIC,AmericanCommon-place,A,B,C,"  its humble rank, Something in its pure wave and sloping bank, Where the deer sported, and the young fawn drank With unscared look; There's much in"
601,1832,MAG,NewEngMag,A,B,C,  fleeing en masse. You can see that the females run almost as fast as deer. I have it now; a Grizzly Bear has got to windward of them
826,1832,MAG,NewEngMag,A,B,C,"  "" will immediately take shelter in it. In the northern part of New-York, deer are killed in the following manner. Their tracks in any particular district are well"
393,1834,NF,ChinaEnglishCharacter,A,B,C,"  in the world wild, woody, mountainous and rocky, abounding with stags and deer of different species, and most of the other beasts of the chase, not"
550,1834,FIC,ProseSketchesPoems,A,B,C,"  deep caon. While sitting in camp this morning, ready to start, two deer came running up towards them, and stopped. Lewis shot and brought one down"
574,1834,FIC,ProseSketchesPoems,A,B,C,"  killed several mountain sheep and white bear. The former animal is larger than a deer, and is like a common sheep in appearance -- of a dirty light color"
27,1835,MAG,NewEngMag,A,B,C,"  save a little skirmishing on the way home, in which the dogs ran a deer directly over my first station. She was over before we came in sight."
29,1835,FIC,Writings,A,B,C,"  , Comely they grew, patient of toil and pain, And as the fleet deer's agile was their frame; Of meaner vices scarce they knew the name;"
75,1835,FIC,Writings,A,B,C,  lie! Strong was their arm; their step was fleet; Swift as the deer's their wingd feet: How oft in desperate conflict low They laid the madly
89,1835,MAG,NewEngMag,A,B,C,"  It must have passed them So it shall not me! Vhiz It was the deer, running for his life. From the thicket he could not see me till"
234,1835,NF,EssayOnRateWages,A,B,C,"  other purposes, from which the labouring population received no "" benefit, as a deer park, or a pleasure garden, or in the maintenance of horses or hounds"
298,1835,MAG,NewEngMag,A,B,C,"  and soon came up with him. He was bending over a fine, fat deer, that lay bleeding at his feet; the hounds were, some erouching near"
388,1835,FIC,HorseShoeRobinson,A,B,C,"  Henry. "" Another person's knife might have done the business; for the deer jumped down the bank into the road, and there "" -- Mildred cast a"
408,1835,FIC,GeorgiaScenesCharacters,A,B,C,"  . With these I was well acqainted, having often been with them in the deer and rabbit hunt. Could I say, like Horace, "" exigi monumentum oere"
430,1835,MAG,NewEngMag,A,B,C,"  , ay! was the cheering answer. Noxv, he who first wounds the deer has him, by the laws of sport. I had won the deer -"
614,1835,FIC,InfidelFallMexico,A,B,C,"  , besides a thousand birds of every dye among the trees, some half dozen deer frisking over the glades, and heard at but a little distance, the roar"
957,1835,MAG,NewEngMag,A,B,C,"  hope, when a rush in the bushes made me start. It was a deer; in a moment my gun was at my eye - a glimpse, and"
988,1835,FIC,TalesSketches,A,B,C,"  , and the different occupations of the man and woman. The husband hunts the deer -- the wife cultivates the maize, and those, "" he concluded, pointing"
168,1836,FIC,WilliamPenn,A,B,C,"  Lenape Princess, behold the spoils I bring thee. Our hunters are laden with deer and the soft-furred beaver. But Lenape scorned such prey. I watched for the"
239,1836,FIC,WilliamPenn,A,B,C,"  spirits of the warlike Allegwi arise and chase again, like famished wolves the timid deer, the peaceful Shakamaxon, when I cease to hover over the dove of the"
260,1836,FIC,ThirtyYearsAgo,A,B,C,"  Vermonters -- Lovedog was shown, by a neighbour, the manner of hunting the deer in America. Here the free denizens of the forest were as free as the"
422,1836,NF,AstoriaAnecdotes,A,B,C,"  , and the inhabitants must eke out their subsistence by digging roots or chasing the deer. Indeed, whenever an Indian of the upper country is too lazy to hunt"
776,1836,NF,AstoriaAnecdotes,A,B,C,"  the brooks and streams are dried up; the buffalo, the elk and the deer have wandered to distant parts, keeping within the verge of expiring verdure, and"
366,1837,FIC,Twice-ToldTales,A,B,C,"  Matthew and Hannah, after their calm rest, were as light as two young deer, and merely stopped to say their prayers, and wash themselves in a cold"
370,1837,NF,AnAccompaniment,A,B,C,"  there are two species, the Woodland and the Barren Ground Caribou. The Virginia Deer is one of the most ele- /z/ gant of the American animals of its class"
840,1837,NF,AnAccompaniment,A,B,C,"  it is a solitary animal, and the most shy and wary of all the Deer species: it was formerly found as far south as the Ohio River, but"
782,1839,FIC,GreenMountainBoys,A,B,C,"  in high spirits and disposed for a little merriment -- Your huntsmen, whenever a deer's in the race, Like your lovers, of course, must expect a"
228,1840,FIC,GreyslaerARomance,A,B,C,"  such a heft as that, "" cried our old friend Balt, lifting the deer by its antlers partly from the ground. "" You must have struck the crittur"
553,1840,FIC,GreyslaerARomance,A,B,C,"  bosom, sweep them so quickly from alternate light to gloom, that the startled deer who drinks from the river's brink has scarcely time to fix his gaze ere"
588,1840,FIC,GreyslaerARomance,A,B,C,"  the winter season, while the Iroquois themselves pursued on snow-shoes the moose and red deer in the valleys below: To tell of the harsh treatment he received, when"
647,1840,FIC,HowardPinckney,A,B,C,"  became more distinct, she started on with the speed and fear of a frightened deer. As she ran, it was evident that the person behind was following her"
797,1840,FIC,GreyslaerARomance,A,B,C,"  all know the Whooping Hollow; but you were a bold fellow to strike a deer there. "" "" Yes, I stirred him first in the mash at this"
857,1841,NF,LifeTecumsehHis,A,B,C,"  of sheep and cattle in quest of new pastures, but hunters, roaming after deer and bison, and changing their location, as the pursuit from year to year"
211,1842,FIC,BeauchampeVolume2,A,B,C,"  to lonely places, dark, gloomy, and tangled, such as the wounded deer might seek out, in his last agonies, in which to die in secret"
292,1842,FIC,SportingScenes,A,B,C,"  feed, and were taken by the Indians with so little trouble, that a Deer was sold for a knife, a loaf of bread, or even for a"
166,1843,FIC,NewPurchaseSeven,A,B,C,"  ! Carlyle's theory of opinion, must be extended to dogs: and our deer hunt will confirm it. One day during Christmas week Uncle John went a hunting"
186,1843,FIC,IdomenValeYumuri,A,B,C,"  brilliant colors; and snow shoes curiously woven of the soft pliant skin of the deer. We saw them in a group at a distance, as we followed the"
347,1843,FIC,NewPurchaseSeven,A,B,C,"  ! that I was keeping for skins!! "" Fourthly, we had a deer hunt, not only somewhat remarkable in itself, but memorable for the change it"
465,1843,FIC,NewPurchaseSeven,A,B,C,"  -- a powder horn, and its loader of deer-horn, tied on with a deer sinew and holding enough to prime a shot gun -- a mould running three hundred"
501,1843,FIC,NewPurchaseSeven,A,B,C,"  Otherwise our hunter would have made many a dive for the rescue of his "" deer slayer; "" as it was, he came away disconsolate, and, indeed"
654,1843,FIC,NewPurchaseSeven,A,B,C,"  in a vice. In this way Indians and woodsmen often lie in ambuscade for deer at the licks, or enemies in war. 4th. Every man prepared a"
956,1843,FIC,NewPurchaseSeven,A,B,C,"  cuts. I mended likewise, water sleds, hunted turkeys, missed killing two deer for want of a rifle, played the flute, practised the fiddle, and"
950,1844,FIC,GuaricaCharibBride,A,B,C,"  with fresh blood; and followed by several Indians, two of whom bore a deer, slung by its legs to a pole resting on their shoulders. These threw"
23,1845,MAG,USDemRev,A,B,C,"  upon the ear, followed by the bounding of light feet. Away flies the Deer. startled by our white dresses moving among the green foliage, and fearfi*l every"
36,1845,NF,ArtistMerchant,A,B,C,"  which struck a fine buck just about the instant I heard the report. The deer made a single leap and fell dead. "" So much, "" says I"
48,1845,FIC,WesternClearings,A,B,C,"  friend Silas, and to most of his class, is a bee-hunt. Neither deer, nor' coons, nor prairie-hens, nor even bears, prove half as"
54,1845,FIC,WigwamCabinVolume1,A,B,C,"  prick up, jest like a hound's when he first gets scent of the deer, or hears the horn of the hunter. I looked closely at the lad"
108,1845,FIC,Pioneers,A,B,C,"  thing more to be settled, and that is, our respective rights to the deer, Judge Temple.?? I acknowledge it to be thine,? said."
121,1845,FIC,WarwickWoodlands,A,B,C,"  up on the hill there telled me jist now, that they druv a big deer down from the back-bone clear down to this here hollow just above, last night"
134,1845,FIC,Pioneers,A,B,C,"  of our streams and small lakes; and another, to prohibit the killing of deer in the teeming months. These are laws that were loudly called for by judicious"
146,1845,FIC,Pioneers,A,B,C,"  twelve dollars and fifty cents, by decimals, on every man who kills a deer betwixt January and August. The Judge had a great hand in getting the law"
172,1845,FIC,WesternClearings,A,B,C,"  makes as wide a search as time will allow, and brings down as many deer, partridges, quails, etc., as possible; horses being in attendance to"
216,1845,FIC,WarwickWoodlands,A,B,C,"  all hands on board, pulled stoutly homeward, and found Tom lamenting. Two deer, a buck of the first head, and a doe, had taken water"
275,1845,FIC,Pioneers,A,B,C,"  so imprudent as to for get the law, and has this day killed a deer. Nay, I believe I must share in the crime and the penalty,"
