entry,year,genre,source,a,b,c,text
501,1820,FIC,MountainTorrent,A,B,C,"  &c.; (hunting bugles, and the wild cry of falconers at intervals in the forest; MARCO runs eagerly from the forest) Mar. Marco Oh, la!"
638,1820,NF,JournalsTwoExpeditions,A,B,C,"  the needle 5. 20. E. The valley in which we encamped is enclosed by forest hills on all sides but the east, affording us plenty of water from what"
690,1820,NF,JournalsTwoExpeditions,A,B,C,"  not be impracticable. The country between us and the sea was broken into considerable forest hills and pleasing valleys, down the principal of which we could distinguish a small"
266,1823,FIC,WildernessBraddocks,A,B,C,"  miles, over a pathless and interminable wilderness of thick, lonely, and gloomy forest, corresponding in its state of wild and dismal savageness with the nature of the"
672,1823,FIC,WildernessBraddocks,A,B,C,  solicitude. The legions of a powerful nation will soon carry their thunders into this forest to root their enemies out of it. The conflict will be dreadful; and
870,1823,FIC,WildernessBraddocks,A,B,C,"  was very anxious to preserve, since they were now become the lords of the forest. As to the danger the doctor was in of falling again into their hands"
976,1823,FIC,GeniusOblivion,A,B,C,"  till that mound, Turfed wall, and grassy trench he found Where the deep forest thickened round! If war's red glories cheat the sight, Ambition soars an"
103,1824,FIC,SketchConnecticut,A,B,C,"  the famine; or to the pestilence; or to the wild beast of the forest. Each, his own way to the grave -- let him go! """
131,1824,FIC,Tancred,A,B,C,"  dispatched to meet us were discovered by them, upon which they fled into the forest. Stephen. Stephen Sir, you have omitted one circumstance. Did not the"
138,1824,FIC,SketchConnecticut,A,B,C,"  us, whether upon the mountain tops, or in the wilderness, or the forest, where no ray hath penetrated? Wherever we flee, he will follow,"
973,1824,FIC,Tancred,A,B,C,"  us. -- The sound of a horn is heard Break, men, for the Forest. The Banditti run off. Enter Vassals from the Castle Lawrence. Lawrence To"
917,1825,FIC,Zophiel APoem,A,B,C,  chose Thy best-beloved from ruddy Nature's breast: The grotto dark and rude -- The forest solitude -- The craggy mount by blushing clouds carest -- Have altars where thy light etherial glows
