entry,year,genre,source,a,b,c,text
1,1994,FIC,HarpersMag,A,B,C,"  Achilles and the tortoise. Swift Achilles, Zeno teases, can never catch the tortoise, for in whatever short time required for him to close half the hundred yards"
2,1947,FIC,Gallery,A,B,C,  Elvira was sunk in a stupid terror; she'd retracted her head like a tortoise into her coat and was trusting only to Giulia's arm to guide her.
3,1852,FIC,AesopInRhyme,A,B,C,"  , What ills the double-tongued create. Illustration THE EAGLE, THE RAVEN AND THE TORTOISE. Who in their foe united find Force, art, and a remorseless mind"
4,1849,FIC,MardiVoyageThither,A,B,C,"  older than I. "" "" Ay, ay, Braid-Beard; his crest was a tortoise; and this was the motto: -- I bite, but am not to"
5,2004,NEWS,CSMonitor,A,B,C,"  Indian Ocean. # The stele rises 15 feet from the back of a stone tortoise and is topped by a pair of scaly, intertwined dragons. The emperor's"
6,2002,FIC,FantasySciFi,A,B,C,"  of the ocean, was arranged between the chairs, and upon it set a tortoise shell of sea tea and a huge sand-dollar platter holding fancy jelly and starfish."
7,1969,FIC,WhatImGoingDoI,A,B,C,"  . The turtle recoiled, collapsed and then slowly raised itself up like a sea tortoise and began to lumber towards her husband. She had never seen, outside a"
8,1993,MAG,Time,A,B,C,"  found on the 23 pairs of human chromosomes, they decided, like the proverbial tortoise, to take the slow and careful route. Plotting out a 12-year game plan"
9,1847,FIC,AroundTheTea-Table,A,B,C,"  any place we are called to be. While we can not, like the tortoise, carry our house on our back, we are better off than he,"
10,1882,NF,IndiaWhatCanIt,A,B,C,"  them (akarot), and because he made them he was (called) tortoise (Kurma). A tortoise is (called) Kasyapa, and therefore all"
11,1992,MAG,ConsumResrch,A,B,C,"  manufacturing ink, sizing paper and silk, printing fabrics, manufacturing imitation horn and tortoise shell, tanning hides, and in photography and chemistry. The Occupational Safety and"
12,1945,MAG,NatGeog,A,B,C,"  thick soups. Shark fins and turtle eggs, too, are export delicacies. Tortoise shell and mother-of-pearl are well known to world commerce. Because of the heavy rains"
13,1852,FIC,AesopInRhyme,A,B,C,"  get there, Then how can you hope to be winner? "" But the tortoise could hear not a word that she said For he was far distant behind;"
14,1846,FIC,RomanTraitorVol22,A,B,C,"  clatter. "" Ho! by the Thunderer! we have smashed them beneath their tortoise, like an egg in its shell! Now ply your bows, brave boys"
15,2004,FIC,FantasySciFi,A,B,C,"  since we are rushing toward the defining moment, albeit in an Achilles and the Tortoise manner. Arthur pushed his way through the underbrush. He could see a rocky"
16,1874,NF,WesternWorld,A,B,C,"  The sides of the head are white, sprinkled with black spots. THE BOX TORTOISE. The peculiarity of this creature is that it can draw its head within its"
17,1944,FIC,FreedomRoad,A,B,C,"  old man in the piney woods, he wouldn't consider Brother Tortoise. Old Tortoise got a shell so thick no one ever credit him with smartness -- "" Rachel"
18,1873,MAG,Scribners,A,B,C,"  the earth resting on a serpent and the serpent on the tortoise -- and the tortoise on what? This paper rests on that paper, and that paper on this"
19,1934,FIC,PrivateWorlds,A,B,C,  him. No one else had caught it. He found himself wondering what his tortoise did when it was simply pleased. CHAPTER XIJANE seemed rather surprised to see Charles
20,1942,NF,ColorDesignInApparel,A,B,C,  Gray. Purples. Black. Beige. Blues brighter or lighter than navy. Tortoise shell and medium red- Greens. browns. Yellows. BROWNS ARE PLEASING WITH:
21,1868,MAG,Putnams,A,B,C,"  , as given, is taken from the Greek of Simeon Seth. I The tortoise seems to intend here a very gentle rehuke to mousie for his long moralizing,"
22,1838,FIC,NarrativeArthur,A,B,C,"  , nevertheless, what greatly astonished us, that the islands abounded in the large tortoise of the Gallipagos, one of which we saw in the canoe of Too-wit."
23,1995,NEWS,Denver,A,B,C,"  blueprint called for the line to run 7 miles through protected habitat for the desert tortoise. # Richard Tempest accused the family liberals, who include Williams and her husband"
24,1990,MAG,Wilderness,A,B,C,"  in the Kelso Dunes, rare pholisma arenaria in the Granite Mountains, a desert tortoise, brittlebush in flower. # PHOTO (COLOR): Opposite page: Hoarfrost"
