entry,year,genre,source,a,b,c,text
1,1854,NF,HistoryEngland,A,B,C,"  of the guards, to whom Cutts, mindful of his honourable nickname of the Salamander, set as good an example on this night of terror as he had set"
2,1957,MAG,Time,A,B,C,"  rejected princess (Ballerina Beriosova) and a prince who has been transformed into a salamander, Composer Britten's dry, percussive, deftly syncopated score never provided the needed"
3,1967,MAG,Time,A,B,C,"  211642 The Hawaiian dark-rumped petrel, the blunt-nosed leopard lizard, the Santa Cruz long-toed salamander and the Col orado River squawfish - to say nothing of the timber wolf,"
4,2007,MAG,NatGeog,A,B,C,"  locals at first thought they were baby dragons. Since then, scores of blind salamander and fish species have turned up in places like Texas' vast Edwards aquifer,"
5,1897,NF,EvolutionMan --,A,B,C,"  . This has been regarded as an astounding phenomenon, although every common frog and salamander repeats the metamorphosis in the spring. The whole change from the aquatic and gill-breathing"
6,1912,FIC,WhiteAshes,A,B,C,"  going to do a bigger business. Even if we don't take over the Salamander or some other company, we're going to swing a much heavier premium income"
7,1943,FIC,Play:Patriots,A,B,C,  James! JAMES MONROE You fight fire with fire. THOMAS JEFFERSON I'm no salamander. Fire's not my element. JAMES MONROE His bill has made the fortunes
8,1912,FIC,WhiteAshes,A,B,C,"  the separation act through the Conference, but all that the astute President of the Salamander had hoped for, and in anticipation of which had laid his plans, had"
9,1973,MAG,Time,A,B,C,"  Amen, 8resLin (3) 5-Breakfast of Champions, Vonnegut (4) 6-The Salamander, West (7) 7-Once Is Not Enough, Susann (8) 8-Harvest"
10,1912,FIC,WhiteAshes,A,B,C,  the white ashes in the snow. CHAPTER XXIV On the top floor of the Salamander office in William Street a man stood silent before a map desk on which was
11,1912,FIC,WhiteAshes,A,B,C,"  took advantage of its position to raid its agency plant for the benefit of the Salamander. "" "" That's most of it nonsense -- but what if I did? """
12,1981,NF,PatternsVertebrate,A,B,C,"  is adjusted so that hatching occurs as the annual rains begin. One of the salamander parents coils about the clutch and remains throughout the dry season, protecting the eggs"
13,1854,FIC,FreaksFortuneThe,A,B,C,  . A Novel. By Eugene Sue. Illustrated. Price 25 cents. The Salamander. A Tale of the Sea. By Eugene Sue. Price 25 cents.
14,1898,FIC,AllAboard A,A,B,C,"  an opening into the great pit of Hades. These Seedees are as near a salamander as a human being can be, perhaps, and certainly they will endure heat"
15,2009,FIC,Pulse,A,B,C,"  to impress the man, he continued before Ridley could respond. "" When a salamander loses a limb, blastema cells clump around the wound. Blastema cells can form"
16,1963,MAG,Time,A,B,C,"  panting after all the newty details. And, though U.S. scientists soon pooh-poohed the salamander saga, it made the front pages of most U.S. newspapers, which since Sputnik"
17,1912,FIC,WhiteAshes,A,B,C,"  really good broker that we've got attached to us. "" "" But the Salamander can't take care of all their business. Why, those two firms must"
18,1887,MAG,Harpers,A,B,C,"  Henderson recommend, the following varieties: Henderson's New York, Black-seeded Simpson, Salamander, and All the Year Round. I would alse add the Black-seeded Butter Lettuce"
19,1897,NF,EvolutionMan --,A,B,C,"  in the ground like earth-worms). (FIGURE 2.261. Larva of the Spotted Salamander (Salamandra maculata), seen from the ventral side. In the centre a"
20,1843,FIC,VariousWritings,A,B,C,"  oak woods at West Farms, a coarse white apron about his waist and a salamander in his countenance, declaring stoutly to a customer, that although he had roughed"
21,1912,FIC,WhiteAshes,A,B,C,"  on, anyway. "" Fresh in his determination, he went straight to the Salamander office, and it was but a moment later that he found himself confronting the"
22,1923,NF,scan,A,B,C,"  running mammals, nails in ourselves. They number five in man as in the salamander, never more than four in birds and in pigs, three in the emu"
23,1912,FIC,WhiteAshes,A,B,C,"  draft marked the last public connection between that company and the Osgood office. The Salamander had reinsured, and the news of its fall was abroad on the streets of"
24,2001,FIC,SurvivalRatesStories,A,B,C,"  life. The card games she taught them with complicated, contradictory rules. "" Salamander, "" she'd yell suddenly, her bangs permed like poodle fluff, her"
25,1892,NF,DarwinAfterDarwin,A,B,C,"  salamanders in being exclusively terrestrial in its habits. Now, the young of this salamander before their birth are found to be furnished with gills, which, however,"
26,1912,FIC,WhiteAshes,A,B,C,  and most potent factor in the management of the Salamander Fire Insurance Company. The Salamander was as exactly the antithesis of the Guardian as it was possible to conceive.
