entry,year,genre,source,a,b,c,text
1,1823,FIC,GeniusOblivion,A,B,C,"  path, That, scarce accessible to foot, Save of wild deer or mountain goat, Wound threading round the precipice, They haste, till where projecting rise The"
2,1849,FIC,Leni-LeotiAdventures,A,B,C,"  five or ten miles. Ere we raised our camp, I shot a mountain goat, being the first game we had killed since the buck of unfavorable memory."
3,1851,MAG,AmWhigRev,A,B,C,"  easy. The broad snow-fields, over which he had so often hunted the mountain goat, interposed no obstacle, but above them the rash adventurer would be compelled to"
4,1860,FIC,ActressInHighLife,A,B,C,"  , having, I think, a liking for rough ground. Like the mountain goat, if she will forgive the comparison, she prefers the crag to the plain"
5,1882,MAG,Century,A,B,C,"  of their prowess, antlers of elk and deer, heads of the white mountain goat, and the huge, uncouth mountain sheep, and skins of bears, wolves"
6,1889,NF,ExterminationAmerican,A,B,C,"  that there will be an elk, moose, caribou, mountain sheep, mountain goat, antelope, or black-tail deer left alive in the United States in a wild"
7,1889,NF,ExterminationAmerican,A,B,C,"  our elk, antelope, deer, moose, caribou, mountain sheep, mountain goat, walrus, and other animals. It will be doubly deplorable if the remorseless"
8,1890,FIC,DelightMakers,A,B,C,"  not only slaughter but frighten the deer, the mountain sheep, and the mountain goat, driving them into regions less accessible to man. The turkey alone, that"
9,1891,MAG,Century,A,B,C,"  burrows. Besides the bears and marmots no other game was seen. The mountain goat is known to live on the southeastern side of Yakutat Bay, but no signs"
10,1901,FIC,Master-KnotHuman,A,B,C,"  As he rounded a point in the rocks, he came upon a Rocky Mountain goat engaged in combat with a cinnamon bear. The bear was hardly more than a"
11,1903,MAG,Century,A,B,C,"  bird or two, and a few tracks of bear or/deer, marten or mountain goat, alone betrayed that the region is not quite bereft of life. So we"
12,1908,FIC,WyomingStoryOutdoor,A,B,C,"  but nothing in reason can stop a cow-pony. As sure footed as a mountain goat, as good a climber almost as a cat, Buck followed the flying horseman"
13,1911,FIC,Mavericks,A,B,C,"  broncho was a roan, with muscles of elastic leather, sure-footed as a mountain goat. Its master -- a slim, brown man, of medium height, well knit and"
14,1911,FIC,Mavericks,A,B,C,"  ledges, mesquit, and even cactus bushes, she went up like a mountain goat But the water swept upon her, waist high, and dragged at her."
15,1913,FIC,SaddleBoysRockies,A,B,C,"  wall, taking advantage of every jutting rock, and showing a nimbleness a mountain goat might almost have envied. "" I reckon it does, Bob, "" replied"
16,1914,MAG,Mentor,A,B,C,"  of it, the fall of the dornick dislodged a living, palpitating white mountain goat. A shaggy old "" Billy "" of large size went bounding away down the"
